,id,name,des,functionDes,shop_des
备注,id,名称,描述,功能描述,商城功能描述
,2000054,锤子  橙,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2000064,锤子  橙R,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2000074,锤子  橙SR,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2000084,锤子  橙SSR,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2011010,奥兹家族武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2012010,奥兹家族衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2013010,奥兹家族裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2014010,奥兹家族鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2021010,魔法议会武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2022010,魔法议会衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2023010,魔法议会裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2024010,魔法议会鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2041010,圣界组织武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2042010,圣界组织衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2043010,圣界组织裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2044010,圣界组织鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2051010,密林国度武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2052010,密林国度衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2053010,密林国度裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2054010,密林国度鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2061010,英豪领域武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2062010,英豪领域衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2063010,英豪领域裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2064010,英豪领域鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2011021,奥兹家族武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2012021,奥兹家族衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2013021,奥兹家族裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2014021,奥兹家族鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2021021,魔法议会武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2022021,魔法议会衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2023021,魔法议会裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2024021,魔法议会鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2041021,圣界组织武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2042021,圣界组织衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2043021,圣界组织裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2044021,圣界组织鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2051021,密林国度武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2052021,密林国度衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2053021,密林国度裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2054021,密林国度鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2061021,英豪领域武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2062021,英豪领域衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2063021,英豪领域裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2064021,英豪领域鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2011032,奥兹家族武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2012032,奥兹家族衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2013032,奥兹家族裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2014032,奥兹家族鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2021032,魔法议会武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2022032,魔法议会衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2023032,魔法议会裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2024032,魔法议会鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2041032,圣界组织武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2042032,圣界组织衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2043032,圣界组织裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2044032,圣界组织鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2051032,密林国度武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2052032,密林国度衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2053032,密林国度裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2054032,密林国度鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2061032,英豪领域武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2062032,英豪领域衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2063032,英豪领域裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2064032,英豪领域鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2011043,奥兹家族武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2012043,奥兹家族衣服,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2013043,奥兹家族裤子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2014043,奥兹家族鞋子,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
,2021043,魔法议会武器,真相只有一个，文案还在路上,真相只有一个，文案还在路上,真相只有一个，文案还在路上
