,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,1237601,,<align="center">帝国B级通缉犯：<color=#bd1011>武装劫掠者兰迪</color></align><br><align="center">袭击冒险者营地掠夺资源</align>,,,
,1237701,,<align="center">帝国<color=#bd1011>B+</color>级通缉犯：<color=#bd1011>宿命穿刺者艾斯</color></align><br><align="center">参与袭击卡诺萨城事件</align>,,,
,1237801,,<align="center">帝国B级通缉犯：<color=#bd1011>荒漠战神肖恩</color></align><br><align="center">暴力袭击冒险者营地驻扎的冒险者</align>,,,
,1237802,,这家伙我听说过，他的斧头是用黄金做的，啧啧啧。,,,
,1237901,,<align="center">边陲B级通缉犯：<color=#bd1011>邪恶研究者伊文</color></align><br><align="center">进行明令禁止的黑魔法研究</align>,,,
,1238001,,<align="center">边陲B级通缉犯：<color=#bd1011>腐蚀毒蜂德琳</color></align><br><align="center">袭击边陲沙漠过往的镇民与商队</align>,,,
,1238101,,<align="center">边陲<color=#bd1011>B+</color>级通缉犯：<color=#bd1011>暗鸦领主艾因</color></align><br><align="center">率领部下攻打三月边陲</align>,,,
,1238201,,<align="center">密林<color=#bd1011>B+</color>级通缉犯：<color=#bd1011>瘟疫传播者柏格</color></align><br><align="center">在月神森林传播不死者病毒</align>,,,
,1238301,,<align="center">密林B级通缉犯：<color=#bd1011>月夜诡蝠桑德拉</color></align><br><align="center">在夜晚袭击月神森林的居民</align>,,,
,1238302,,上面居然说它能吸收月光来获得力量，<br>内部的原理看来值得研究一下。,,,
,1238401,,<align="center">密林B级通缉犯：<color=#bd1011>森林领主托尔斯</color></align><br><align="center">劫掠月神森林各部落资源</align>,,,
,1238501,,<align="center">密林B级通缉犯：<color=#bd1011>雾隐猎手莉莉安</color></align><br><align="center">精灵族罪犯，已越狱</align>,,,
,1238601,,<align="center">密林<color=#bd1011>B+</color>级通缉犯：<color=#bd1011>鬼魅魔蛛贝斯</color></align><br><align="center">参与袭击树心城</align>,,,
,1238701,,<align="center">密林B级通缉犯：<color=#bd1011>巨熊领主提坦</color></align><br><align="center">袭击永夜森林暗精灵部落居民</align>,,,
,1238801,,<align="center">密林B级通缉犯：<color=#bd1011>夜雾巨人巴伦</color></align><br><align="center">袭击迷雾森林中的冒险者营地</align>,,,
,1238901,,<align="center">密林B级通缉犯：<color=#bd1011>幻雾狂魔伯尼</color></align><br><align="center">于迷雾森林中打伤数名驻扎的冒险者</align>,,,
,1239001,,<align="center">密林B级通缉犯：<color=#bd1011>灾祸舞动者雅丽</color></align><br><align="center">因危害他人生命等多项罪名关押于密林重狱，已越狱</align>,,,
,1239002,,上面居然说看过她舞蹈的人都会受到诅咒。<br>不过，我可不信这种东西！,,,
,1239101,,<align="center">边陲B级通缉犯：<color=#bd1011>岩窟食人魔布尔</color></align><br><align="center">摧毁大量三月边陲城镇设施</align>,,,
,1239201,,<align="center">边陲B级通缉犯：<color=#bd1011>飞翼魔鹰黛西</color></align><br><align="center">劫掠三月边陲居民财产</align>,,,
,1239301,,<align="center">边陲B级通缉犯：<color=#bd1011>狂热复仇者克罗</color></align><br><align="center">多次恶意伤害三月边陲居民</align>,,,
,1239401,,<align="center">密林B级通缉犯：<color=#bd1011>叶刃毒蜂佩丝</color></align><br><align="center">袭击月神森林当地居民</align>,,,
,1239501,,<align="center">密林<color=#bd1011>B+</color>级通缉犯：<color=#bd1011>白银惩戒者奥布</color></align><br><align="center">精灵高危罪犯，已越狱</align>,,,
,1239601,,<align="center">密林B级通缉犯：<color=#bd1011>月冥女巫菲丽丝</color></align><br><align="center">灵巫鸢尾成员，代号白鸢尾</align>,,,
,1239701,,<align="center">密林B级通缉犯：<color=#bd1011>恐惧战魂阿尔奇</color></align><br><align="center">违法修炼黑魔法</align>,,,
,1239801,,<align="center">密林B级通缉犯：<color=#bd1011>泥沼蝎王班奈特</color></align><br><align="center">袭击永夜森林的居民</align>,,,
,1239901,,<align="center">密林B级通缉犯：<color=#bd1011>熔火战骑凯文</color></align><br><align="center">摧毁当地的建筑设施</align>,,,
,1240001,,<align="center">帝国B级通缉犯：<color=#bd1011>地穴石魔波特</color></align><br><align="center">空袭冒险者营地，至数名冒险者受伤</align>,,,
,1240002,,哦？上面说它的力量巨大无比，无人能敌。<br>我倒要看看能有多大本事。,,,
,1240101,,<align="center">帝国<color=#bd1011>B+</color>级通缉犯：<color=#bd1011>不死追寻者班森</color></align><br><align="center">违法研究禁忌法术</align>,,,
,1240201,,<align="center">帝国<color=#bd1011>B+</color>级通缉犯：<color=#bd1011>毁灭践踏者巴顿</color></align><br><align="center">参与袭击卡诺萨城事件，担任袭击军团头领</align>,,,
,1240202,,大姐头你看，<br>上面说他的破坏力非常惊人，看来是个厉害的对手！,,,
,1240301,,<align="center">密林B级通缉犯：<color=#bd1011>苦痛荆棘塞拉</color></align><br><align="center">因恶意袭击精灵被关押于密林重狱，已越狱</align>,,,
,1240401,,<align="center">密林B级通缉犯：<color=#bd1011>天灾使魔洛特</color></align><br><align="center">潜伏于迷雾森林中，恶意袭击冒险者</align>,,,
,1240501,,<align="center">密林B级通缉犯：<color=#bd1011>狂暴战熊安迪</color></align><br><align="center">劫夺迷雾森林冒险者驻地，并致数人受伤</align>,,,
,1240601,,辛苦了，这是任务的赏金。<br>还要领取其他的悬赏任务吗？,,,
,1240701,,给，这是属于你们的奖励。<br>联盟还有新的悬赏任务，快看下吧。,,,
,1240801,,欢迎回来，结果如何？,,,
,1240803,,『黄金有着吸引一切的魔力。』<br>还要看看新的悬赏任务吗？,,,
,1240901,,辛苦了，这下周围的镇民也能安心不少了。<br>这里还有其他的悬赏任务，要再努力一下吗？,,,
,1241001,,感谢你们对帝国作出的贡献。<br>还有新的悬赏任务，要看看吗？,,,
