,required,optional,required,required,required,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,sort,amount_limit,flag,price,awardid,actionid
备注,物品id,名称,物品类型,叠加上限,物品flag,售出金币,奖励id,Action id
,2000054,钰石,2,9999,34,1000,0,0
,2000064,粗钰石,2,9999,34,1000,0,0
,2000074,精态钰石,2,9999,34,1000,0,0
,2000084,纯精黑钰石,2,9999,34,1000,0,0
,2011021,奥兹·壹制兵刃,2,9999,34,100,0,0
,2011032,奥兹·贰制兵刃,2,9999,34,100,0,0
,2011043,奥兹·叁制兵刃,2,9999,34,100,0,0
,2011054,奥兹·肆制兵刃,2,9999,34,100,0,0
,2011064,奥兹·伍制兵刃,2,9999,34,100,0,0
,2011074,奥兹·陆制兵刃,2,9999,34,100,0,0
,2011084,奥兹·柒制兵刃,2,9999,34,100,0,0
,2012021,奥兹·壹制上衣,2,9999,34,100,0,0
,2012032,奥兹·贰制上衣,2,9999,34,100,0,0
,2012043,奥兹·叁制上衣,2,9999,34,100,0,0
,2012054,奥兹·肆制上衣,2,9999,34,100,0,0
,2012064,奥兹·伍制上衣,2,9999,34,100,0,0
,2012074,奥兹·陆制上衣,2,9999,34,100,0,0
,2012084,奥兹·柒制上衣,2,9999,34,100,0,0
,2013021,奥兹·壹制下装,2,9999,34,100,0,0
,2013032,奥兹·贰制下装,2,9999,34,100,0,0
,2013043,奥兹·叁制下装,2,9999,34,100,0,0
,2013054,奥兹·肆制下装,2,9999,34,100,0,0
,2013064,奥兹·伍制下装,2,9999,34,100,0,0
,2013074,奥兹·陆制下装,2,9999,34,100,0,0
,2013084,奥兹·柒制下装,2,9999,34,100,0,0
,2014021,奥兹·壹制足靴,2,9999,34,100,0,0
,2014032,奥兹·贰制足靴,2,9999,34,100,0,0
,2014043,奥兹·叁制足靴,2,9999,34,100,0,0
,2014054,奥兹·肆制足靴,2,9999,34,100,0,0
,2014064,奥兹·伍制足靴,2,9999,34,100,0,0
,2014074,奥兹·陆制足靴,2,9999,34,100,0,0
,2014084,奥兹·柒制足靴,2,9999,34,100,0,0
,2021021,学院·壹制兵刃,2,9999,34,100,0,0
,2021032,议会·贰制兵刃,2,9999,34,100,0,0
,2021043,议会·叁制兵刃,2,9999,34,100,0,0
,2021054,议会·肆制兵刃,2,9999,34,100,0,0
,2021064,议会·伍制兵刃,2,9999,34,100,0,0
,2021074,议会·陆制兵刃,2,9999,34,100,0,0
,2021084,议会·柒制兵刃,2,9999,34,100,0,0
,2022021,学院·壹制上衣,2,9999,34,100,0,0
,2022032,议会·贰制上衣,2,9999,34,100,0,0
,2022043,议会·叁制上衣,2,9999,34,100,0,0
,2022054,议会·肆制上衣,2,9999,34,100,0,0
,2022064,议会·伍制上衣,2,9999,34,100,0,0
,2022074,议会·陆制上衣,2,9999,34,100,0,0
,2022084,议会·柒制上衣,2,9999,34,100,0,0
,2023021,学院·壹制下装,2,9999,34,100,0,0
,2023032,议会·贰制下装,2,9999,34,100,0,0
,2023043,议会·叁制下装,2,9999,34,100,0,0
,2023054,议会·肆制下装,2,9999,34,100,0,0
,2023064,议会·伍制下装,2,9999,34,100,0,0
,2023074,议会·陆制下装,2,9999,34,100,0,0
,2023084,议会·柒制下装,2,9999,34,100,0,0
,2024021,学院·壹制足靴,2,9999,34,100,0,0
,2024032,议会·贰制足靴,2,9999,34,100,0,0
,2024043,议会·叁制足靴,2,9999,34,100,0,0
,2024054,议会·肆制足靴,2,9999,34,100,0,0
,2024064,议会·伍制足靴,2,9999,34,100,0,0
,2024074,议会·陆制足靴,2,9999,34,100,0,0
,2024084,议会·柒制足靴,2,9999,34,100,0,0
,2041021,圣界·壹制兵刃,2,9999,34,100,0,0
,2041032,圣界·贰制兵刃,2,9999,34,100,0,0
,2041043,圣界·叁制兵刃,2,9999,34,100,0,0
,2041054,圣界·肆制兵刃,2,9999,34,100,0,0
,2041064,圣界·伍制兵刃,2,9999,34,100,0,0
,2041074,圣界·陆制兵刃,2,9999,34,100,0,0
,2041084,圣界·柒制兵刃,2,9999,34,100,0,0
,2042021,圣界·壹制上衣,2,9999,34,100,0,0
