,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,string,string
,id,iconId,iconType,iconIndex,iconPath,clear_path
备注,id,战队头像id,对应动态表的type值,对应动态表的二进制位,头像路径,镂空的头像路径
西蒙,1,101,0,0,Textures/Atlas/Dyn/CharacterCommonHead/simone.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/XiMeng.png
温丽,2,201,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Wenly.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/WenLi.png
爱琳娜,3,301,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Elena.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/AiLinNa.png
泰雷,4,102,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Thairay.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/TaiLei.png
爱琪,5,302,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Rose.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/AiQi.png
兰奇,6,103,0,0,Textures/Atlas/Dyn/CharacterCommonHead/LancyBlack.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/LanQi.png
葛莱蒂丝,7,105,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Arwen.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/GeiLaiDiSi.png
木禅,8,104,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Muchan.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/MuChan.png
阿德琳,9,108,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Druid.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/ADeLin.png
乔伊,10,401,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Joey.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/QiaoYi.png
夜崎隐,11,107,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Cain.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/YeQiYin.png
檐鬼,12,106,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Aghost.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/YanGui.png
米兰达,13,112,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Miaer.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/MiLanDa.png
米修,14,10101,11,1,Textures/Atlas/Dyn/CharacterCommonHead/ApuffofMichaux.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/Apu.png
由莉,15,10056,11,2,Textures/Atlas/Dyn/CharacterCommonHead/Yuro.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/YouLi.png
赫丽,16,10028,11,3,Textures/Atlas/Dyn/CharacterCommonHead/Herly.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/HeLi.png
贪婪,17,10103,11,4,Textures/Atlas/Dyn/CharacterCommonHead/Greedy.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/TanLan.png
夜崎隐趣味,18,10158,11,5,Textures/Atlas/Dyn/CharacterCommonHead/Cain01.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/YeQiYin01.png
泰雷趣味,19,10166,11,6,Textures/Atlas/Dyn/CharacterCommonHead/Thairay01.png,Textures/Atlas/Dyn/CharacterCommonHead/headimage/TaiLei01.png
