,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,697701,6977,1,101,101,100109,-1,0,-1,0,0,1
,697702,6977,2,301,101,100109,-1,0,301,0,0,1
,697703,6977,3,301,101,100109,-1,0,301,0,0,1
,697704,6977,4,-1,-1,0,-1,0,-1,0,0,1
,697801,6978,1,3819,3819,0,-1,0,-1,0,0,1
,697901,6979,1,3942,-1,0,-1,0,3942,0,0,1
,697902,6979,2,101,101,100109,-1,0,3942,0,0,1
,697903,6979,3,3942,101,100109,-1,0,3942,0,0,1
,698001,6980,1,3943,3943,0,-1,0,-1,0,0,1
,698002,6980,2,201,3943,0,-1,0,201,100205,0,1
,698101,6981,1,3944,-1,0,-1,0,3944,0,0,1
,698102,6981,2,101,101,100112,-1,0,3944,0,0,1
,698103,6981,3,3944,101,100112,-1,0,3944,0,0,1
,698104,6981,4,301,-1,0,-1,0,301,0,0,1
,698201,6982,1,3945,3945,0,-1,0,-1,0,0,1
,698202,6982,2,301,3945,0,-1,0,301,0,0,1
,698203,6982,3,3945,3945,0,-1,0,301,0,0,1
,698204,6982,4,301,3945,0,-1,0,301,0,0,1
,698301,6983,1,3946,3946,0,-1,0,-1,0,0,1
,698302,6983,2,301,3946,0,-1,0,301,0,0,1
,698303,6983,3,3946,3946,0,-1,0,301,0,0,1
,698304,6983,4,301,3946,0,-1,0,301,0,0,1
,698401,6984,1,3947,3947,0,-1,0,-1,0,0,1
,698501,6985,1,3948,3948,222002,-1,0,-1,0,0,1
,698502,6985,2,301,3948,222002,-1,0,301,0,0,1
,698601,6986,1,3949,3949,0,-1,0,-1,0,0,1
,698602,6986,2,301,3949,0,-1,0,301,0,0,1
,698701,6987,1,3950,3950,0,-1,0,-1,0,0,1
,698702,6987,2,301,3950,0,-1,0,301,0,0,1
,698801,6988,1,3951,3951,0,-1,0,-1,0,0,1
,698802,6988,2,301,3951,0,-1,0,301,0,0,1
,698803,6988,3,3951,3951,0,-1,0,301,0,0,1
,698901,6989,1,3942,-1,0,-1,0,3942,0,0,1
,698902,6989,2,101,101,100112,-1,0,-1,0,0,1
,699001,6990,1,3943,3943,0,-1,0,-1,0,0,1
,699002,6990,2,101,101,100112,-1,0,-1,0,0,1
,699101,6991,1,3944,-1,0,-1,0,3944,0,0,1
,699102,6991,2,201,201,100209,-1,0,-1,0,0,1
,699201,6992,1,3945,3945,0,-1,0,-1,0,0,1
,699202,6992,2,301,3945,0,-1,0,301,0,0,1
,699301,6993,1,3946,3946,0,-1,0,-1,0,0,1
,699302,6993,2,301,3946,0,-1,0,301,0,0,1
,699401,6994,1,3947,3947,0,-1,0,-1,0,0,1
,699402,6994,2,101,101,100112,-1,0,-1,0,0,1
,699501,6995,1,3948,3948,222002,-1,0,-1,0,0,1
,699502,6995,2,201,201,0,-1,0,-1,0,0,1
,699601,6996,1,3949,3949,0,-1,0,-1,0,0,1
,699602,6996,2,101,101,100112,-1,0,-1,0,0,1
,699701,6997,1,3950,3950,0,-1,0,-1,0,0,1
,699801,6998,1,3951,3951,0,-1,0,-1,0,0,1
,699802,6998,2,101,101,100112,-1,0,-1,0,0,1
,699901,6999,1,3952,3952,0,-1,0,-1,0,0,1
,700001,7000,1,3953,3953,0,-1,0,-1,0,0,1
,700101,7001,1,3954,3954,0,-1,0,-1,0,0,1
,700201,7002,1,3955,3955,0,-1,0,-1,0,0,1
,700301,7003,1,3956,3956,0,-1,0,-1,0,0,1
,700401,7004,1,301,-1,0,-1,0,301,0,0,1
,700402,7004,2,3898,3898,0,-1,0,301,0,0,1
,700403,7004,3,3898,3898,0,-1,0,301,0,0,1
,700404,7004,4,301,-1,0,-1,0,301,100308,0,1
,700405,7004,5,3898,3898,0,-1,0,301,100308,0,1
,700406,7004,6,301,-1,0,-1,0,301,100308,0,1
,700407,7004,7,3898,3898,0,-1,0,301,100308,0,1
,700501,7005,1,301,-1,0,-1,0,301,0,0,1
,700601,7006,1,3898,3898,0,-1,0,-1,0,0,1
,700602,7006,2,-1,-1,0,-1,0,-1,0,0,1
,700603,7006,3,301,-1,0,-1,0,301,100308,0,1
,700604,7006,4,101,101,100112,-1,0,301,100308,0,1
,700605,7006,5,301,101,100112,-1,0,301,100308,0,1
,700701,7007,1,301,-1,0,-1,0,301,0,0,1
,700801,7008,1,101,101,100109,-1,0,-1,0,0,1
,700802,7008,2,201,101,100109,-1,0,201,100220,0,1
,700901,7009,1,301,-1,0,-1,0,301,0,0,1
,700902,7009,2,101,101,100109,-1,0,301,0,0,1
,700903,7009,3,301,101,100109,-1,0,301,0,0,1
,700904,7009,4,301,101,100109,-1,0,301,0,0,1
,701001,7010,1,201,-1,0,-1,0,201,100205,0,1
,701002,7010,2,201,-1,0,-1,0,201,100220,0,1
,701003,7010,3,101,101,100108,-1,0,201,100220,0,1
,701004,7010,4,201,101,100108,-1,0,201,100213,0,1
,701101,7011,1,3649,3649,0,-1,0,-1,0,0,1
,701201,7012,1,3649,3649,0,-1,0,-1,0,0,1
,701301,7013,1,3444,3444,0,-1,0,-1,0,0,1
