,required,required,required,required,required,optional,required,required,required,optional,optional,optional,optional
,uint32,uint32,string,uint32,uint32,string,uint32,uint32,float,uint32,int32,string,string
,id,sceneId,regionSize,shapeType,type,name,plowlevel,glowlevel,scale,lookfaceId,background,des,uiPos
备注,NPC组Id,关卡Id,区域大小,区域形状,NPC组类型(1npc/building/box/map/5copy/6transfor/7trap/8采集),名字,触发交互界面等级,npc群组最低等级,尺寸,外形id,NPC群组聊天背景,描述,（相对位置）建筑等或无模型类型UI名称位置
,21045,3154,"3,3,3",0,1,小说家伊登,0,0,1,2003,0,,
,21046,3154,"3,3,3",0,1,吃瓜群众巴里特,0,0,1,2012,0,,
,21047,3154,"3,3,3",0,1,冒险家帕克,0,0,1,2082,0,,
,21048,3154,"3,3,3",0,1,赏金猎人卡恩,0,0,1,2005,0,,
,21049,3154,"3,3,3",0,1,街头卖艺者,0,0,1,2004,0,,
,21050,3154,"3,3,3",0,1,森林猎手迈尔,0,0,1,2032,0,,
,21051,3154,"3,3,3",0,1,迷妹阿妮塔,0,0,1,2022,0,,
,21052,3154,"3,3,3",0,1,维克船长,0,0,1,2078,0,,
,21053,3154,"3,3,3",0,1,密探克瑞斯,0,0,1,2021,0,,
,21054,3154,"3,3,3",0,1,奥汀大叔,0,0,1,2019,0,,
,30705,3154,,1,7,,0,0,1,0,0,,
,40348,3154,,0,1,禁卫军备箱,0,0,1,1020,0,,
,40349,3154,,0,1,禁卫军备箱,0,0,1,1020,0,,
