,required,optional,optional
,uint32,string,string
,id,headPath,normalHalfPath
备注,id,标准头像,标准半身像
,3942,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Travelereli.png
,3943,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\GoblinHead.png
,3944,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Captainirving.png
,3945,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\breadgodmissionary.png
,3946,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\TheBardofMammon.png
,3947,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Abbey.png
,3948,Textures\Atlas\Dyn\CharacterCommonHead\Youngwomen.png,Textures\Atlas\Dyn\CharacterHalfBody\FloristMemory.png
,3949,Textures/Atlas/Dyn/CharacterCommonHead/AiNiAo.png,Textures\Atlas\Dyn\CharacterHalfBody\adventurersLeader.png
,3950,Textures/Atlas/Dyn/CharacterCommonHead/Youngmen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngmen.png
,3951,Textures\Atlas\Dyn\CharacterCommonHead\Uncle.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png
,3952,Textures\Atlas\Dyn\CharacterCommonHead\TheBardofMammon.png,Textures\Atlas\Dyn\CharacterHalfBody\Witchmoor.png
,3953,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\MoneyColombo.png
,3954,Textures/Atlas/Dyn/CharacterCommonHead/ArmedWolf.png,Textures\Atlas\Dyn\CharacterHalfBody\Wolves.png
,3955,Textures/Atlas/Dyn/CharacterCommonHead/Greenforestdemon.png,Textures\Atlas\Dyn\CharacterHalfBody\Greenwoodflowerdemon.png
,3956,Textures\Atlas\Dyn\CharacterCommonHead\Blackthorne.png,Textures\Atlas\Dyn\CharacterHalfBody\Blackthorne.png
