,required,required,required,optional,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,optional,repeated,required,optional
,uint32,float,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,int32,int32,float,string
,id,scale,fight_scene_id,magic_circle_path,coer_monster,normal_talk,special_talk,attack_talk,time,intervaltime,regionSize,latent_range,follow_range,insight,no_insight_id,corpse_vis,drop1,drop2,drop3,BGM_Star,BGM_Loop,magicScale,defaultAnim
备注,组ID,外形信息,战斗场景,魔法阵路径,核心怪物ID,正常气泡内容id,特殊气泡id,战斗气泡id,显示时长,显示间隔,区域大小,潜伏解除距离,追击距离,洞察力,洞察对象,显示尸体,掉落奖励1,奖励2,奖励3,战斗开始音乐,战斗循环音乐,光环大小,默认动作
,200785,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100410,0,0,5,3,,0,0,1,52011,0,0,0,0,0,,1,
,200786,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100411,0,0,5,3,,0,0,1,52011,0,0,0,0,0,,1,
,200787,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100412,0,0,5,3,,0,0,1,52011,0,0,0,0,0,,1,
,200788,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100413,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200789,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100414,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200790,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100415,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200791,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100416,0,0,5,3,,0,0,1,52011,0,0,0,0,0,,1,
,200792,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100417,0,0,5,3,,0,0,1,52011,0,0,0,0,0,,1,
,200793,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100418,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200794,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100419,0,0,5,3,,0,0,1,52011,0,0,0,0,0,,1,
,200795,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100420,0,0,5,3,,0,0,1,52011,0,0,0,0,0,,1,
,200796,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100421,0,0,5,3,,0,0,1,52011,0,0,0,0,0,,1,
,200797,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100422,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200798,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100423,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200799,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100424,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200800,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200801,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200802,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200803,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200804,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200805,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
