,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,697701,,大姐头，今晚又有这么多吃瓜群众来凑热闹，怪盗<br>伪装混在他们其中，一点线索都没有。,,,
,697702,,一个个问过去，自然能抓到马脚。,,,
,697703,,卡诺萨已经戒严了，只要不是禁卫军都会被抓住<br>盘问，带离卡诺萨。机灵点，别被巡逻士兵发现了。,,,
,697704,,（经验丰富的赏金猎人提示：禁卫军备箱中放着的<br>禁卫军制服和掩护斗篷，可以躲避巡逻。）,,,
,697801,巡逻士兵,卡诺萨已经戒严了，无关人员请立刻离开。,,,
,697901,,这么精彩的怪盗故事，写进小说里一定能大卖！<br>今晚，我一定要全程记录，每一个细节都不放过！,,,
,697902,,卡诺萨正在戒严，你一出去就会被禁卫军给抓住吧。<br>如果不能自由走动，你怎么全程记录？,,,
,697903,,嘘！我自有办法！这城里的密道我一清二楚！自由走<br>动对我来说根本不是什么难事。,能随意走动的，只有怪盗了吧！,加油！,
,698001,,走开走开，你们挡着我的最佳观赏角度了。<br>要知道，每次禁卫军和怪盗的追逐，都是一场好戏。,,,
,698002,,卡诺萨戒严期间，你居然还敢偷偷溜进来吃瓜……<br>太不合常理了吧？！,我怀疑你是怪盗！,四处看看有没有更可疑的人。,
,698101,,冒险了这么久，还是第一次碰到这么大的场面。<br>期待地搓搓手！,,,
,698102,,那什么……请小声点，你这样会把禁卫军引过来的。,,,
,698103,,怕什么！大不了再混进来就好了！<br>我跟你说，这里禁卫军看起来多，溜进来可容易了！,,,
,698104,,（啧，这人居然对这里的防卫分布这么熟悉？）,我怀疑你是怪盗！,再四处看看有没有更可疑的人。,
,698201,,只要能抓到怪盗尤妮娅，这个月的生活费就有指<br>望了！,,,
,698202,,虽然尤妮娅的赏金很可观，可你作为一个赏金猎<br>人，也不至于沦落到单靠这个赏金过活吧？,,,
,698203,,我……我只是比较懒！<br>我就想一个月只干一单，干一单吃一年，不行吗？！,,,
,698204,,这么心虚，你是不是压根就不了解赏金猎人怎么<br>赚钱的啊？,我严重怀疑，你就是怪盗！,算了，说不定他就是懒。,
,698301,,都怪这怪盗，我只能早早收摊，损失惨重！<br>我一定要亲眼看到禁卫军抓住怪盗，才能解气！,,,
,698302,,你待在这，只会添麻烦吧。,,,
,698303,,谁说的！万一怪盗出现了，我可以帮禁卫军们拦住<br>她！这种大坏蛋，别想逃出卡诺萨！,,,
,698304,,（一个街头艺人，会仅仅因为生意被破坏，就这么<br>激动？……啧）,我说，你就是那怪盗吧！,当然，也可能就是个热血少年。,
,698401,,听，听说这里有怪盗！我……我……,你紧张什么？你是怪盗？,别紧张，我只是随便问问。,
,698501,,啊啊啊啊啊！！怪盗尤妮娅来了！我在空气中<br>闻到了她的味道！！！不行了，我要晕倒了！！,,,
,698502,,尤妮娅压根就没出现，你是故意在混淆视听吗？,我怀疑你就是怪盗！,三观不正，告辞。,
,698601,,前段时间，怪盗尤妮娅偷走了我兄弟家的大钻石！<br>我要亲手抓住她，为我兄弟报仇！,,,
,698602,,我怎么没听过这回事？,贼喊捉贼，你就是怪盗吧？,再四处看看有没有更可疑的人。,
,698701,,你们鬼鬼祟祟在这干嘛？你们是，<size=180%>怪盗？！！！<br>我发现怪盗了！,,,
,698702,,该死！！你这么大声是想把人招来吗？！,别装了，我还怀疑你是怪盗！,赶紧离他远点！,
,698801,,今晚可真够热闹的！没想到我们这种普通人，<br>有生之年还能见到这种大场面！,,,
,698802,,所以你为了看热闹，即使卡诺萨戒严了也要溜进来？<br>（一边说自己普通，可行为却这么出格？）,,,
,698803,,那当然！普通人的人生也要轰轰烈烈一次！,越普通越有鬼，你是怪盗！,打扰了。,
,698901,,戒严了你们不也偷偷摸摸溜进来了？<br>莫名其妙！你们这种人，在我书里最多只能活1秒！,,,
,698902,,不好意思，我们认错人了。,,,
,699001,,？？？我怀疑你这里有点问题。<br>冲锋在最前线吃的第一手瓜，才有意义你懂吗！,,,
,699002,,不好意思，我们认错人了。,,,
,699101,,怪盗？！你们看到了？在哪里，在哪里！快让我开开<br>眼！,,,
,699102,,爱琳娜姐姐，这人好像亢奋过头了……我们还是离他<br>远点吧。别被禁卫军注意到了。,,,
,699201,,爱琳娜，你抓怪盗抓久了怎么变得疑神疑鬼了？<br>看，这是赏金猎人的标志，你认得吧。,,,
,699202,,天色太暗，没注意到。对了，纠正你一下，<br>这不叫疑神疑鬼，这叫宁可错认，不可放过。,,,
,699301,,呸！你侮辱谁呢！我凭自己手艺吃饭！就算是饿死，<br>也绝不会干这种偷偷摸摸，违背良心的事！,,,
,699302,,不错！小伙子，我欣赏你！,,,
,699401,,结，结巴犯法吗?哪，哪一条法律规定，结巴就是<br>怪盗！你，你们这是歧视！,,,
,699402,,大姐头，看来他真的只是结巴，我们认错人了。,,,
,699501,,我也希望我是，可是我不是！<br>尤妮娅太优秀了，我只要能远远看她一眼就够了！,,,
,699502,,（眼疾手快，一把抓住暴躁的爱琳娜）<br>爱琳娜姐姐，冷静点！我们去问问别人！,,,
,699601,,你才是怪盗！你全家都是怪盗！<br>这种小事情当然不会上报，你以为你是百事通吗！,,,
,699602,,不好意思，你别激动，我们认错人了。,,,
,699701,,我不是！嘘，小声点！<br>既然不是的话，就别吵我找怪盗踪迹！,,,
,699801,,……你可别胡说！我就是个普通人，只想安安稳稳<br>过日子，才不想和那些乱七八糟的事情扯上关系！,,,
,699802,,抱歉，是我们认错人了。,,,
,699901,,啊？！啊！被发现了？！可我只是想来探听点秘密，<br>我不是怪盗啊！,,,
,700001,,嘘！！你别把士兵给招过来了！我不是怪盗，我只是<br>想溜进来顺点值钱的玩意！你就当没看到我！,,,
,700101,,别……别打我！我只是想看看，能，能不能，顺点东<br>西！而且，我……我只是想想，还，还没干呢！,,,
,700201,,我怎么会是怪盗，我配不上！我只能借她的光，<br>顺手也拿点东西，算是对她的致敬。,,,
,700301,,啧，伪装被发现了？不过，我不是怪盗，当然，<br>你们想把我当成她，我也不介意！,,,
,700401,,啧，别在那装了。我知道你就是尤妮娅，你那拙劣<br>的演技早就被我识破了。,,,
,700402,,哎呀，不愧是爱琳娜！既然被你发现漏洞了呢！♫<br>好吧，既然被拆穿了，那就和你们见一面吧！♪,,,
,700403,,爱琳娜，你想我了吗？我可是很想你呢！♫<br>因为你的出现，让整个游戏都变得有趣了起来！♫,,,
,700404,,你个【哔哔哔哔哔哔】！闭嘴，别在那套近乎！<br>今天，你别想逃出这里！,,,
,700405,,哎呀呀，你又想吵架了嘛♫为什么每次见面，都要说<br>脏话呢？♪虽然你很可爱，可是素质还是要提高呀♪,,,
,700406,,你个【哔哔哔哔哔哔哔哔】！你完蛋了！,,,
,700407,,嘘，小声点嘛，我不想我们的秘密被别人发现呢！♫,,,
,700501,,啧，又是个想浑水摸鱼的小贼！,,,
,700601,,又到了离开的时候了呢！♪爱琳娜，下次继续玩耍<br>哦！宝物什么的，就送你吧！♫,,,
,700602,,（不知何时，空中出现一个挂着吊梯的飞艇。<br>怪盗尤妮娅飞快地跃了上去。飞艇转眼消失。）,,,
,700603,,你个【哔哔哔哔哔哔】！她的花样还真是层出不穷！<br>我【哔哔哔】【哔哔哔】【哔哔哔哔】【哔哔哔】！,,,
,700604,,大姐头……那我们现在……离开这？<br>（……原来大姐头完全暴走是这样的状态……可怕！）,,,
,700605,,走吧！你个【哔———】！老娘下次，一定，一定要<br>亲手抓住她！！,,,
,700701,,穿上禁卫军制服，可以迷惑巡逻士兵，但这种小把<br>戏，无法瞒过对每个士兵模样了如指掌的禁卫队长。,,,
,700801,,呼，好险，差一点就被发现了……糟糕，前面是禁卫<br>队长，禁卫军制服没办法迷惑他……,,,
,700802,,这里有个铁匠铺，或许可以试试，在这里制造点声<br>响，把禁卫队长引过来后，我们再趁机绕过去。,敲敲打打，假装锻造。,算了吧，有点危险。,
,700901,,停，别往前走了。<br>禁卫队长就站在那，我们要想办法避开他。,,,
,700902,,唔……不如我们躲在这货摊里，然后趁他不注意再<br>溜进去？,,,
,700903,,他不会主动过来的……主动……我有办法了！,,,
,700904,,西蒙，你等会在货摊后面学猫叫，尽量大声点！等他<br>过来检查时，我们马上绕过去，速度要快！,学猫叫，喵喵喵！,再想想有没有别的办法。,
,701001,,怎么才能躲过禁卫队长的巡逻呢……这附近没有躲藏<br>的地方，只有一户住宅……住宅……门铃……,,,
,701002,,对了门铃！本大小姐有办法了！西蒙你去摁门铃！,,,
,701004,,笨蛋！就是因为不可能，所以才能引起他们注意<br>啊！只要他离开路口，我们自然就有机会溜进去！,不情不愿摁门铃。,算了吧，想别的办法。,
,701101,禁卫队长,什么人？！,,,
,701201,禁卫队长,卡诺萨戒严期间，禁止入内！请马上离开！,,,
,701301,,卡诺萨居民情况复杂。为抓住怪盗尤妮娅，今晚禁<br>卫军将在城内彻夜巡逻，不放过任何一个可疑人员。,,,
