,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,money,core_id,core_num,minor_id1,minor_num1,minor_id2,minor_num2,minor_id3,minor_num3
备注,物品ID,所需金币数量,核心材料ID,核心材料数量,次要材料1ID,次要材料1数量,次要材料2ID,次要材料2数量,次要材料3ID,次要材料3数量
,2000064,10000,2000054,10,0,0,0,0,0,0
,2000074,10000,2000064,10,0,0,0,0,0,0
,2000084,10000,2000074,10,0,0,0,0,0,0
,2011084,10000,2011074,10,2000084,1,0,0,0,0
,2012084,10000,2012074,10,2000084,1,0,0,0,0
,2013084,10000,2013074,10,2000084,1,0,0,0,0
,2014084,10000,2014074,10,2000084,1,0,0,0,0
,2021084,10000,2021074,10,2000084,1,0,0,0,0
,2022084,10000,2022074,10,2000084,1,0,0,0,0
,2023084,10000,2023074,10,2000084,1,0,0,0,0
,2024084,10000,2024074,10,2000084,1,0,0,0,0
,2041084,10000,2041074,10,2000084,1,0,0,0,0
,2042084,10000,2042074,10,2000084,1,0,0,0,0
,2043084,10000,2043074,10,2000084,1,0,0,0,0
,2044084,10000,2044074,10,2000084,1,0,0,0,0
,2051084,10000,2051074,10,2000084,1,0,0,0,0
,2052084,10000,2052074,10,2000084,1,0,0,0,0
,2053084,10000,2053074,10,2000084,1,0,0,0,0
,2054084,10000,2054074,10,2000084,1,0,0,0,0
,2061084,10000,2061074,10,2000084,1,0,0,0,0
,2062084,10000,2062074,10,2000084,1,0,0,0,0
,2063084,10000,2063074,10,2000084,1,0,0,0,0
,2064084,10000,2064074,10,2000084,1,0,0,0,0
