,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,money,core_id,core_num,minor_id1,minor_num1,minor_id2,minor_num2,minor_id3,minor_num3
备注,物品ID,所需金币数量,核心材料ID,核心材料数量,次要材料1ID,次要材料1数量,次要材料2ID,次要材料2数量,次要材料3ID,次要材料3数量
,2011032,500,2011021,2,0,0,0,0,0,0
,2011043,500,2011032,3,0,0,0,0,0,0
,2011054,500,2011043,5,2000054,1,0,0,0,0
,2011064,500,2011054,5,2000064,1,0,0,0,0
,2011074,500,2011064,5,2000074,1,0,0,0,0
,2012032,500,2012021,2,0,0,0,0,0,0
,2012043,500,2012032,3,0,0,0,0,0,0
,2012054,500,2012043,5,2000054,1,0,0,0,0
,2012064,500,2012054,5,2000064,1,0,0,0,0
,2012074,500,2012064,5,2000074,1,0,0,0,0
,2013032,500,2013021,2,0,0,0,0,0,0
,2013043,500,2013032,3,0,0,0,0,0,0
,2013054,500,2013043,5,2000054,1,0,0,0,0
,2013064,500,2013054,5,2000064,1,0,0,0,0
,2013074,500,2013064,5,2000074,1,0,0,0,0
,2014032,500,2014021,2,0,0,0,0,0,0
,2014043,500,2014032,3,0,0,0,0,0,0
,2014054,500,2014043,5,2000054,1,0,0,0,0
,2014064,500,2014054,5,2000064,1,0,0,0,0
,2014074,500,2014064,5,2000074,1,0,0,0,0
,2021032,500,2021021,2,0,0,0,0,0,0
,2021043,500,2021032,3,0,0,0,0,0,0
,2021054,500,2021043,5,2000054,1,0,0,0,0
,2021064,500,2021054,5,2000064,1,0,0,0,0
,2021074,500,2021064,5,2000074,1,0,0,0,0
,2022032,500,2022021,2,0,0,0,0,0,0
,2022043,500,2022032,3,0,0,0,0,0,0
,2022054,500,2022043,5,2000054,1,0,0,0,0
,2022064,500,2022054,5,2000064,1,0,0,0,0
,2022074,500,2022064,5,2000074,1,0,0,0,0
,2023032,500,2023021,2,0,0,0,0,0,0
,2023043,500,2023032,3,0,0,0,0,0,0
,2023054,500,2023043,5,2000054,1,0,0,0,0
,2023064,500,2023054,5,2000064,1,0,0,0,0
,2023074,500,2023064,5,2000074,1,0,0,0,0
,2024032,500,2024021,2,0,0,0,0,0,0
,2024043,500,2024032,3,0,0,0,0,0,0
,2024054,500,2024043,5,2000054,1,0,0,0,0
,2024064,500,2024054,5,2000064,1,0,0,0,0
,2024074,500,2024064,5,2000074,1,0,0,0,0
,2041032,500,2041021,2,0,0,0,0,0,0
,2041043,500,2041032,3,0,0,0,0,0,0
,2041054,500,2041043,5,2000054,1,0,0,0,0
,2041064,500,2041054,5,2000064,1,0,0,0,0
,2041074,500,2041064,5,2000074,1,0,0,0,0
,2042032,500,2042021,2,0,0,0,0,0,0
,2042043,500,2042032,3,0,0,0,0,0,0
,2042054,500,2042043,5,2000054,1,0,0,0,0
,2042064,500,2042054,5,2000064,1,0,0,0,0
,2042074,500,2042064,5,2000074,1,0,0,0,0
,2043032,500,2043021,2,0,0,0,0,0,0
,2043043,500,2043032,3,0,0,0,0,0,0
,2043054,500,2043043,5,2000054,1,0,0,0,0
,2043064,500,2043054,5,2000064,1,0,0,0,0
,2043074,500,2043064,5,2000074,1,0,0,0,0
,2044032,500,2044021,2,0,0,0,0,0,0
,2044043,500,2044032,3,0,0,0,0,0,0
,2044054,500,2044043,5,2000054,1,0,0,0,0
,2044064,500,2044054,5,2000064,1,0,0,0,0
,2044074,500,2044064,5,2000074,1,0,0,0,0
,2051032,500,2051021,2,0,0,0,0,0,0
,2051043,500,2051032,3,0,0,0,0,0,0
,2051054,500,2051043,5,2000054,1,0,0,0,0
,2051064,500,2051054,5,2000064,1,0,0,0,0
,2051074,500,2051064,5,2000074,1,0,0,0,0
,2052032,500,2052021,2,0,0,0,0,0,0
,2052043,500,2052032,3,0,0,0,0,0,0
,2052054,500,2052043,5,2000054,1,0,0,0,0
,2052064,500,2052054,5,2000064,1,0,0,0,0
,2052074,500,2052064,5,2000074,1,0,0,0,0
,2053032,500,2053021,2,0,0,0,0,0,0
,2053043,500,2053032,3,0,0,0,0,0,0
,2053054,500,2053043,5,2000054,1,0,0,0,0
,2053064,500,2053054,5,2000064,1,0,0,0,0
,2053074,500,2053064,5,2000074,1,0,0,0,0
,2054032,500,2054021,2,0,0,0,0,0,0
,2054043,500,2054032,3,0,0,0,0,0,0
,2054054,500,2054043,5,2000054,1,0,0,0,0
,2054064,500,2054054,5,2000064,1,0,0,0,0
,2054074,500,2054064,5,2000074,1,0,0,0,0
,2061032,500,2061021,2,0,0,0,0,0,0
,2061043,500,2061032,3,0,0,0,0,0,0
,2061054,500,2061043,5,2000054,1,0,0,0,0
,2061064,500,2061054,5,2000064,1,0,0,0,0
,2061074,500,2061064,5,2000074,1,0,0,0,0
,2062032,500,2062021,2,0,0,0,0,0,0
,2062043,500,2062032,3,0,0,0,0,0,0
,2062054,500,2062043,5,2000054,1,0,0,0,0
,2062064,500,2062054,5,2000064,1,0,0,0,0
