,required,optional,required,required,required,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,sort,amount_limit,flag,price,awardid,actionid
备注,物品id,名称,物品类型,叠加上限,物品flag,售出金币,奖励id,Action id
,2000054,钰石,2,9999,2,1000,0,0
,2000064,粗钰石,2,9999,2,1000,0,0
,2000074,精态钰石,2,9999,2,1000,0,0
,2000084,纯精黑钰石,2,9999,2,1000,0,0
,2011074,奥兹·陆制兵刃,2,9999,2,100,0,0
,2011084,奥兹·柒制兵刃,2,9999,2,100,0,0
,2012074,奥兹·陆制上衣,2,9999,2,100,0,0
,2012084,奥兹·柒制上衣,2,9999,2,100,0,0
,2013074,奥兹·陆制下装,2,9999,2,100,0,0
,2013084,奥兹·柒制下装,2,9999,2,100,0,0
,2014074,奥兹·陆制足靴,2,9999,2,100,0,0
,2014084,奥兹·柒制足靴,2,9999,2,100,0,0
,2021074,议会·陆制兵刃,2,9999,2,100,0,0
,2021084,议会·柒制兵刃,2,9999,2,100,0,0
,2022074,议会·陆制上衣,2,9999,2,100,0,0
,2022084,议会·柒制上衣,2,9999,2,100,0,0
,2023074,议会·陆制下装,2,9999,2,100,0,0
,2023084,议会·柒制下装,2,9999,2,100,0,0
,2024074,议会·陆制足靴,2,9999,2,100,0,0
,2024084,议会·柒制足靴,2,9999,2,100,0,0
,2041074,圣界·陆制兵刃,2,9999,2,100,0,0
,2041084,圣界·柒制兵刃,2,9999,2,100,0,0
,2042074,圣界·陆制上衣,2,9999,2,100,0,0
,2042084,圣界·柒制上衣,2,9999,2,100,0,0
,2043074,圣界·陆制下装,2,9999,2,100,0,0
,2043084,圣界·柒制下装,2,9999,2,100,0,0
,2044074,圣界·陆制足靴,2,9999,2,100,0,0
,2044084,圣界·柒制足靴,2,9999,2,100,0,0
,2051074,密林·陆制兵刃,2,9999,2,100,0,0
,2051084,密林·柒制兵刃,2,9999,2,100,0,0
,2052074,密林·陆制上衣,2,9999,2,100,0,0
,2052084,密林·柒制上衣,2,9999,2,100,0,0
,2053074,密林·陆制下装,2,9999,2,100,0,0
,2053084,密林·柒制下装,2,9999,2,100,0,0
,2054074,密林·陆制足靴,2,9999,2,100,0,0
,2054084,密林·柒制足靴,2,9999,2,100,0,0
,2061074,英豪·陆制兵刃,2,9999,2,100,0,0
,2061084,英豪·柒制兵刃,2,9999,2,100,0,0
,2062074,英豪·陆制上衣,2,9999,2,100,0,0
,2062084,英豪·柒制上衣,2,9999,2,100,0,0
,2063074,英豪·陆制下装,2,9999,2,100,0,0
,2063084,英豪·柒制下装,2,9999,2,100,0,0
,2064074,英豪·陆制足靴,2,9999,2,100,0,0
,2064084,英豪·柒制足靴,2,9999,2,100,0,0
