,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,1237701,,<align="center">帝国<color=#bd4104>B+级</color>通缉犯：<color=#bd4104>宿命穿刺者艾斯</color></align><br><align="center">参与袭击卡诺萨城事件</align>,,,
,1238101,,<align="center">边陲<color=#bd4104>B+级</color>通缉犯：<color=#bd4104>暗鸦领主艾因</color></align><br><align="center">率领部下攻打三月边陲</align>,,,
,1238201,,<align="center">密林<color=#bd4104>B+级</color>通缉犯：<color=#bd4104>瘟疫传播者柏格</color></align><br><align="center">在月神森林传播不死者病毒</align>,,,
,1238601,,<align="center">密林<color=#bd4104>B+级</color>通缉犯：<color=#bd4104>鬼魅魔蛛贝斯</color></align><br><align="center">参与袭击树心城</align>,,,
,1239501,,<align="center">密林<color=#bd4104>B+级</color>通缉犯：<color=#bd4104>白银惩戒者奥布</color></align><br><align="center">精灵高危罪犯，已越狱</align>,,,
,1240101,,<align="center">帝国<color=#bd4104>B+级</color>通缉犯：<color=#bd4104>不死追寻者班森</color></align><br><align="center">违法研究禁忌法术</align>,,,
,1240201,,<align="center">帝国<color=#bd4104>B+级</color>通缉犯：<color=#bd4104>毁灭践踏者巴顿</color></align><br><align="center">参与袭击卡诺萨城事件，担任袭击军团头领</align>,,,
,1251001,,<align="center">纳雅<color=#bd4104>A+级</color>通缉犯：<color=#bd4104>海上掠夺者格纳</color></align><br><align="center">频繁洗劫海上商船，多次清剿未果</align>,,,
,1251801,,<align="center">纳雅<color=#bd4104>A+级</color>通缉犯：<color=#bd4104>翼魔统领塞曼</color></align><br><align="center">组织部下袭击阿诺特岛，无恶不作</align>,,,
,1253801,,<align="center">纳雅<color=#bd4104>A+级</color>通缉犯：<color=#bd4104>暗夜邪魔奥托</color></align><br><align="center">击毁纳雅飞船，造成重大损失</align>,,,
,1262701,,<align="center">纳雅A级通缉犯：<color=#bd4104>狂战指挥官托特</color></align><br><align="center">破坏当地建筑，危害不冬岛翼族生命安全</align>,,,
,1262901,,<align="center">纳雅<color=#bd4104>A+级</color>通缉犯：<color=#bd4104>暮色桔梗阿芙拉</color></align><br><align="center">使用黑魔法打伤多名纳雅卫队长</align>,,,
,1263101,,<align="center">纳雅<color=#bd4104>A+级</color>通缉犯：<color=#bd4104>重装魔铠艾伯特</color></align><br><align="center">袭击纳雅军队，破坏当地建筑，危害他人生命安全</align>,,,
,1263501,,<align="center">纳雅<color=#bd4104>A+级</color>通缉犯：<color=#bd4104>深渊铁蹄卡萨帕</color></align><br><align="center">纳雅重犯，组织发动多起大规模暴乱，已越狱</align>,,,
