,required,optional,optional,optional
,uint32,string,uint64,uint32
,id,path,approach,red_flag
备注,物品资源Id,图标路径,获取方式类型,是否一直显示红点 1：是 0：否
,2000054,Textures/Atlas/Dyn/Item/2110023.png,1152921504606863392,0
,2011043,Textures/Atlas/Dyn/Item/2130313.png,4611690420768866304,0
,2012043,Textures/Atlas/Dyn/Item/2130323.png,4611690420768866304,0
,2023021,Textures/Atlas/Dyn/Item/2130131.png,1125899906850848,0
,2024021,Textures/Atlas/Dyn/Item/2130141.png,1125899906850848,0
,2041021,Textures/Atlas/Dyn/Item/2130111.png,1125899906850848,0
,2042021,Textures/Atlas/Dyn/Item/2130121.png,1125899906850848,0
,2043021,Textures/Atlas/Dyn/Item/2130131.png,2251799813693472,0
,2044021,Textures/Atlas/Dyn/Item/2130141.png,2251799813693472,0
,2051021,Textures/Atlas/Dyn/Item/2130111.png,2251799813693472,0
,2052021,Textures/Atlas/Dyn/Item/2130121.png,2251799813693472,0
,2053043,Textures/Atlas/Dyn/Item/2130333.png,4611690420768866304,0
,2054043,Textures/Atlas/Dyn/Item/2130343.png,4611690420768866304,0
,2110002,Textures/Atlas/Dyn/Item/2110002.png,2305843009213825040,0
,2110102,Textures/Atlas/Dyn/Item/2110002.png,36028797019095056,0
,2110103,Textures/Atlas/Dyn/Item/2110003.png,288230376151842832,0
,2110202,Textures/Atlas/Dyn/Item/2110002.png,18014398509613072,0
,2110203,Textures/Atlas/Dyn/Item/2110003.png,144115188075986960,0
,2110302,Textures/Atlas/Dyn/Item/2110002.png,18014398509613072,0
,2110303,Textures/Atlas/Dyn/Item/2110003.png,144115188075986960,0
,2110403,Textures/Atlas/Dyn/Item/2110003.png,72057594038059024,0
,2110503,Textures/Atlas/Dyn/Item/2110003.png,72057594038059024,0
,2120014,Textures/Atlas/Dyn/Item/2120014.png,2305843009213698064,0
,2120102,Textures/Atlas/Dyn/Item/2120012.png,9007199254745104,0
,2120103,Textures/Atlas/Dyn/Item/2120013.png,72057594037932048,0
,2120202,Textures/Atlas/Dyn/Item/2120012.png,18014398509486096,0
,2120203,Textures/Atlas/Dyn/Item/2120013.png,144115188075859984,0
,2120302,Textures/Atlas/Dyn/Item/2120012.png,36028797018968080,0
,2120303,Textures/Atlas/Dyn/Item/2120013.png,288230376151715856,0
,2120402,Textures/Atlas/Dyn/Item/2120012.png,36028797018968080,0
,2120403,Textures/Atlas/Dyn/Item/2120013.png,288230376151715856,0
,3030013,Textures/Atlas/Dyn/Item/3030013.png,576460769487486976,0
