,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1287601,12876,1,3043,3043,0,-1,0,-1,0,0,1
,1287801,12878,1,3043,3043,0,-1,0,-1,0,0,1
,1287901,12879,1,3043,3043,0,-1,0,-1,0,0,1
,1287902,12879,2,3043,3043,0,-1,0,-1,0,0,1
,1287903,12879,3,3043,3043,0,-1,0,-1,0,0,1
,1288001,12880,1,101,101,100109,-1,0,-1,0,0,1
,1288101,12881,1,3043,3043,0,-1,0,-1,0,0,1
,1288102,12881,2,301,3043,0,-1,0,301,0,0,1
,1288104,12881,4,301,-1,0,-1,0,301,100302,0,1
,1288105,12881,5,201,-1,0,-1,0,201,100206,0,1
,1288106,12881,6,3043,3043,0,-1,0,201,100206,0,1
,1288107,12881,7,3043,3043,0,-1,0,-1,0,0,1
