,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,1287505,,这东西介绍起来非常麻烦，我现在有点忙……<br>不如这样吧，你们去找伦纳德，他会为你们解释的。,,,
,1287602,,你好，安道夫大叔让我们向你了解下什么是比多仪。,,,
,1287603,,你问那玩意啊，它就是个检测战力的东西，知道这个<br>就行了。两位美丽的小姐，愿意跟我一起共进晚餐吗？,,,
,1287604,,啊……不用了。我们只是想了解一下比多仪而已。,,,
,1287605,,原来是这位可爱的小姐想了解，我很乐意为你详细讲解。,,,
,1287606,,我们每个人都有自己的战力。当然，战力这东西，就和个<br>人魅力一样，受多种因素影响，每个人都不太一样。,,,
,1287701,,比多仪，就是用数据的形式，把战力直观的呈现。打个比<br>方，如果把我的魅力数据化的话，那一定是1000分。,,,
,1287802,,细节不重要，给我说重点！,,,
,1287803,,爱琳娜，你就算这么凶，也还是充满了魅力。简单来说，就是用辐射记录下一堆因素，然后得出一个战力评分。,,,
,1287904,,那是不是说明，如果我想要提升战力，我可以通过提升<br>助力本命，以及努力修炼育成自身这两种途径达到？,,,
,1287905,,是吧，差不多是这样。,,,
,1288002,,你带着它就行，它会自动识别。,,,
,1288003,,（……这个人怎么这么奇怪……面对大小姐她们时就无比<br>热情，对我却爱答不理……）,,,
,1300601,,<b>目标：比多猫，物种：类猫型生物。</b><br>综合战力评定：嘀——数据上限！分析：%￥@#。轰！,,,
,1300602,,（用眼睛捕捉不到的手速，迅速掏出个新的比多仪。）<br>比多猫不是正常猫，他的数据不能做参考。我们换一个。,,,
,1300701,,<b>目标：头条哥布林，物种：妖精。</b><br>综合战力评定：80，分析：战力超过0.01％妖精。,,,
,1300702,,哥布林原来这么弱？本大小姐差点就被他的外表骗了。,,,
,1300801,,哥布林的外表骗人的鬼。怎么样，可爱的小姐，比多仪不错吧？加入自律联盟，不仅可以获得它，还能提升实力。,,,
,1300802,,还能提升实力……大小姐，就这么决定了吧！<br>伦纳德先生，我们加入自律联盟！,,,
,1300901,,,,,
