,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,1287601,,嘿~爱琳娜好久不见，还有这位可爱的小姐姐，<br>很高兴能见到你。,,,
,1287801,,它的原理非常复杂，如果要详细阐述的话，可能需要花上<br>好几天。这要从比多猫游历开始说起……,,,
,1287901,,它的评定维度，太少了……我想想，大概才180多种吧。,,,
,1287902,,有身高、骨骼分布、肌肉走向、颜值、装备、助力本命、<br>英雄等级、基础属性、突破等级、技能熟练度等等……,,,
,1287903,,其实，我觉得，它应该把风趣幽默这些个人特质也加入<br>评定维度中~唉，可惜这项提议被比多猫无情驳回了。,,,
,1288001,,如果我要检测别人的战力，我需要举着它，把它放在别人<br>跟前吗？,,,
,1288101,,说起来，爱琳娜，你的比多仪呢？,,,
,1288102,,早不见了。我在联盟这么久，还从来没用过它，也不屑用<br>它。毕竟我相信，这世上还没有能强过我拳头的存在！,,,
,1288103,,不过……西蒙，温丽你们这两个小鬼倒是可以使用看看，<br>年轻人嘛，还是谦逊一点好。,,,
,1288104,,毕竟，像你们这种什么经验都没有的小鬼，<br>战斗时如果没有客观数据支持，很容易惨败哦。,,,
,1288105,,比多仪真的有这么厉害吗？,,,
,1288106,,比多仪是你战斗时的好帮手~可爱的小姐，这个世界很<br>复杂的，在外冒险还是要多留个心眼，不然很容易受伤。,,,
,1288107,,来，让我来为你展示展示比多仪的厉害~<br>（边说边举起了比多仪，并瞄准了不远处的比多猫。）,,,
