,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,20050139,狂战指挥官托特,2005,2,300151,0,0,0,0,0,0,75,"14.03,4.91,-3.18",220,1
,20050142,邪鳍海魔奥利弗,2005,2,300154,0,0,0,0,0,0,0,"393.28,-2.11,164.01",90,1
,20050144,漆黑侍魔者巴罗,2005,2,300156,0,0,0,0,0,0,0,"357.12,-0.04,-355.99",260,1
,20050150,猩红鞭刺者多琳,2005,2,300162,0,0,0,0,0,0,75,"-2.36,10.91,-45.93",-90,1
,20050151,实验合成兽巴德,2005,2,300163,0,0,0,0,0,0,75,"-34.90,-0.89,-3.16",270,1
,20050154,欲望男爵舒克,2005,2,300166,0,0,0,0,0,0,0,"444.12,0.66,102.46",180,1
,20050156,翼魔统领塞曼,2005,2,300168,0,0,0,0,0,0,0,"268.79,6.05,-315.32",50,1
,20050158,暗影操控者格斯,2005,2,300170,0,0,0,0,0,0,0,"324.68,5.28,-309.40",45,1
,20050160,钢羽枭鹰伊伦,2005,2,300172,0,0,0,0,0,0,0,"356.90,0.48,-274.06",200,1
,20050272,碎岩战锤查理,2005,2,300178,0,0,0,0,0,0,73,"61.21,28.70,-349.59",100,1
,20050273,烈炎斧兽凯恩特,2005,2,300179,0,0,0,0,0,0,73,"23.73,29.21,-374.32",80.57,1
,20050275,暗金领主维恩,2005,2,300181,0,0,0,0,0,0,73,"6.3,22.804,-318.1",-120,1
,20050278,机械魔人杰森,2005,2,300184,0,0,0,0,0,0,73,"83.56,25.74,-347.11",250,1
,20050291,实验合成兽巴德,2005,2,900531,0,1,0,0,0,0,0,"-34.90,-0.89,-3.16",270,1
,20050293,欲望男爵舒克,2005,2,900533,0,1,0,0,0,0,0,"444.12,0.66,102.46",180,1
,20050296,钢羽枭鹰伊伦,2005,2,900536,0,1,0,0,0,0,0,"356.90,0.48,-274.06",200,1
,20050299,翼魔统领塞曼,2005,2,900539,0,1,0,0,0,0,0,"268.79,6.05,-315.32",50,1
,20050302,暗金领主维恩,2005,2,900542,0,1,0,0,0,0,73,"6.3,22.804,-318.1",-120,1
,20050306,烈炎斧兽凯恩特,2005,2,900546,0,1,0,0,0,0,73,"23.73,29.21,-374.32",80.57,1
,20050310,暗影操控者格斯,2005,2,900550,0,1,0,0,0,0,0,"324.68,5.28,-309.40",0,1
,20050313,猩红鞭刺者多琳,2005,2,900553,0,1,0,0,0,0,0,"-2.36,10.91,-45.93",-90,1
,20050316,碎岩战锤查理,2005,2,900556,0,1,0,0,0,0,0,"61.21,28.70,-349.59",100,1
,20050317,邪鳍海魔奥利弗,2005,2,900557,0,1,0,0,0,0,0,"393.28,-2.11,164.01",90,1
,20050331,漆黑侍魔者巴罗,2005,2,900567,0,1,0,0,0,0,0,"357.12,-0.04,-355.99",260,1
,20050333,狂战指挥官托特,2005,2,900569,0,1,0,0,0,0,0,"14.03,4.91,-3.18",220,1
,20050337,深渊铁蹄卡萨帕,2005,2,900573,0,1,0,0,0,0,0,"57.37,29.24,-361.30",28.62,1
,20050338,机械魔人杰森,2005,2,900574,0,1,0,0,0,0,0,"83.56,25.74,-347.11",250,1
