,required,required,optional,required,required,required,required,optional,required,repeated,repeated,required,repeated,required,repeated,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,string,uint32,uint32
,id,name,attr_type,type,sex,family,profession,level,attr_id,special_effects,own_skills,skill_que,skill_vis,skill_loop_que,skill_que_vis,action_id
备注,怪物ID,注释,属性适配类型,怪物类型,性别,家族,职业类型,等级,怪物属性ID,特殊效果ID,拥有技能列表,技能序列,技能序列可见性,循环技能序列,循环技能序列可见性,效果ID
,1000568,狂战指挥官托特,201,1,1,4,1,1,1000568,,5201101;5201102;5201103,"0,1;0,2,2",0,"0,1;0,0,2;0,1;0,1,2,2;0",0,0
,1000571,邪鳍海魔奥利弗,101,1,1,6,1,1,1000571,,1001201;1001202;1001203,"2,0,1,0;0,1,2",0,"2,0,1,0;0,1,2",0,0
,1000573,漆黑侍魔者巴罗,301,1,1,6,1,1,1000573,,900101;900102;900103;900104,"1,1,3;0,2,2",0,"0,1,2;0,1,3;0,1,2",0,0
绝世舞姬,1000579,猩红鞭刺者多琳,201,1,1,4,1,0,1000579,1031,1002201;1002202;1002203,"0,1,0;0,1,2",0,"0,1;0,1,2;1,0,1;0,1;1,0,2",0,0
,1000580,实验合成兽巴德,201,1,1,6,1,1,1000580,1021,1003301;1003302;1003303,"0,1,2;0,0,1",0,"0,0,2;0,0,1;0,1",0,0
,1000583,欲望男爵舒克,201,1,1,4,1,1,1000583,,1003201;1003202;1003203,"1,1,2;0,0,2",0,"0,0,1;0,0,1;0,1,2;0,0,1;0,1,2,2",0,0
,1000585,翼魔统领塞曼,301,1,1,6,1,0,1000585,,900201;900202;900203;900204,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000587,黑背暴熊,204,1,1,3,1,1,1000587,,1001301;1001302;1001303,"0,1,2;1,0,1",0,"2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
,1000589,钢羽枭鹰伊伦,203,1,1,1,1,0,1000589,,5201201;5201202;5201203,"0,1,0,2;1,0,1",0,"1,0,1,0,2;0,1,1;0,1,1;1,0,1,2",0,0
矮巨人指挥官,1000788,碎岩战锤查理,203,1,1,4,1,0,1000788,,800001;800002;800003,"0,1,2;1,2,0,2",0,"0,1,2;1,2,0,2",0,0
四蹄神,1000789,烈炎斧兽凯恩特,304,1,1,6,1,0,1000789,,1003601;1003602;1003603;1003604,"1,0,1,2;0,1,3",0,"0,1,2;1,0,3;1,0,2;1,1,3;1,0,2",0,0
,1000791,暗金领主维恩,205,1,1,4,2,0,1000791,,5202101;5202102;5202103,"2,0;0,1,1",0,"0,0;0,1,2;0,0;0,1;0,1,2,2",0,0
,1000794,机械魔人杰森,301,1,1,6,1,0,1000794,,5202201;5202202;5202203;5202204,"0,1,2,3;1,0,2",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
