,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1286201,12862,1,101,101,100108,-1,0,-1,0,0,1
,1286202,12862,2,102,101,100108,-1,0,102,0,0,1
,1286203,12862,3,102,101,100109,-1,0,102,0,0,1
,1286204,12862,4,101,101,100109,-1,0,102,0,0,1
,1286205,12862,5,301,101,100109,-1,0,301,100303,0,1
,1286206,12862,6,101,101,100109,-1,0,301,100303,0,1
,1286207,12862,7,102,101,100109,-1,0,102,0,0,1
,1286301,12863,1,102,-1,0,-1,0,102,0,0,1
,1286401,12864,1,301,301,0,-1,0,-1,0,0,1
,1286501,12865,1,101,101,0,-1,0,-1,0,0,1
,1286502,12865,2,3818,101,0,-1,0,3818,0,0,1
,1286503,12865,3,101,101,100109,-1,0,3818,0,0,1
,1286504,12865,4,3818,-1,0,-1,0,3818,0,0,1
,1286505,12865,5,-1,-1,0,-1,0,-1,0,0,1
,1286601,12866,1,3818,-1,0,-1,0,3818,0,0,1
,1286701,12867,1,301,-1,0,-1,0,301,0,0,1
