,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1311301,13113,1,3043,3043,0,-1,0,-1,0,0,1
,1311302,13113,2,3043,3043,0,-1,0,-1,0,0,1
,1311401,13114,1,101,101,100109,-1,0,-1,0,0,1
,1311402,13114,2,3043,-1,0,-1,0,3043,0,0,1
,1311403,13114,3,101,101,100109,-1,0,-1,0,0,1
,1311404,13114,4,3043,-1,0,-1,0,3043,0,0,1
,1311405,13114,5,101,101,100104,-1,0,-1,0,0,1
,1311406,13114,6,3043,-1,0,-1,0,3043,125002,0,1
,1311501,13115,1,3042,-1,0,-1,0,3042,109003,0,1
,1311502,13115,2,301,301,0,-1,0,-1,0,0,1
,1311503,13115,3,3042,-1,0,-1,0,3042,0,0,1
,1311504,13115,4,3042,-1,0,-1,0,3042,0,0,1
,1311505,13115,5,3043,3043,125002,-1,0,3042,0,0,1
,1311506,13115,6,3042,3043,125002,-1,0,3042,109003,0,1
,1311507,13115,7,301,301,100302,-1,0,-1,0,0,1
,1311601,13116,1,3043,3043,0,-1,0,-1,0,0,1
,1311602,13116,2,3043,3043,0,-1,0,-1,0,0,1
,1311701,13117,1,3043,3043,0,-1,0,-1,0,0,1
,1311702,13117,2,3043,3043,0,-1,0,-1,0,0,1
,1311801,13118,1,201,201,0,-1,0,-1,0,0,1
,1311802,13118,2,3005,-1,0,-1,0,3005,0,0,1
,1311803,13118,3,201,201,100221,-1,0,-1,0,0,1
,1311804,13118,4,3005,-1,0,-1,0,3005,0,0,1
,1311805,13118,5,201,201,100215,-1,0,-1,0,0,1
,1311901,13119,1,201,201,100204,-1,0,-1,0,0,1
,1311902,13119,2,3080,-1,0,-1,0,3080,0,0,1
,1311903,13119,3,3080,-1,0,-1,0,3080,0,0,1
,1311904,13119,4,3080,-1,0,-1,0,3080,0,0,1
,1312001,13120,1,3043,3043,0,-1,0,-1,0,0,1
,1312002,13120,2,3043,3043,0,-1,0,-1,0,0,1
,1312101,13121,1,3043,3043,0,-1,0,-1,0,0,1
,1312102,13121,2,3043,3043,0,-1,0,-1,0,0,1
,1312201,13122,1,201,201,100211,-1,0,-1,0,0,1
,1312202,13122,2,3042,-1,0,-1,0,3042,109002,0,1
,1312203,13122,3,3042,-1,0,-1,0,3042,109002,0,1
,1312204,13122,4,201,201,100220,-1,0,-1,0,0,1
,1312205,13122,5,3042,-1,0,-1,0,3042,0,0,1
,1312301,13123,1,201,201,0,-1,0,-1,0,0,1
,1312302,13123,2,3101,-1,0,-1,0,3101,0,0,1
,1312303,13123,3,201,201,100205,-1,0,-1,0,0,1
,1312304,13123,4,3101,-1,0,-1,0,3101,0,0,1
,1312305,13123,5,3101,-1,0,-1,0,3101,0,0,1
,1312306,13123,6,3101,-1,0,-1,0,3101,0,0,1
,1312307,13123,7,201,201,100221,-1,0,-1,0,0,1
