,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型
抵达湖畔镇,10100,0,1,0,0,0,3,1 2001 30081,1,,2,0,0,0,0,"2 0 2001 -3.40,0.13,14.41",0,101
向镇民问路,10101,0,1,0,0,0,3,1 2001 20046,1,,2,0,0,0,0,1 1 2001 20046,0,102
击败狐克斯,10102,0,1,0,0,0,3,1 2001 20046,1,,5,0,0,0,0,1 1 2001 20046,0,101
安慰由莉,10103,0,1,0,0,0,3,1 2001 20046,1,,2,0,0,0,0,1 1 2001 20046,0,102
和大小姐讲道理,10104,0,1,0,0,0,3,1 2001 20046,1,,2,0,0,0,0,1 1 2001 20046,0,101
击败温丽,10105,0,1,0,0,0,3,1 2001 20047,1,,2,0,0,0,0,1 1 2001 20047,0,101
化解误会,10106,0,1,0,0,0,3,1 2001 10004,1,,2,0,0,0,0,"2 0 2001 8.73,0.05,-17.75",0,101
核实赫丽的身份,10107,0,1,0,0,0,3,1 2001 30087,1,,5,0,0,0,0,"2 0 2001 2.01,0.05,-15.46",0,102
罗兰颂歌,10108,0,1,0,0,0,3,1 2001 10005,1,,2,0,0,0,0,"2 0 2001 -5.91,0.05,-14.87",0,101
罗兰颂歌,10109,0,1,0,0,0,3,1 2001 10005,1,,2,0,0,0,0,"2 0 2001 -5.91,0.05,-14.87",0,108
,10110,0,1,0,0,0,3,1 2001 30083,1,,2,0,0,0,0,"2 0 2001 1.50,0.05,-11.93",0,101
兽潮侵扰,10111,0,1,0,0,0,3,1 2001 10004,1,,5,0,0,0,0,"2 0 2001 8.73,0.05,-17.75",0,101
由莉的执念,10112,0,1,0,0,0,3,1 2001 12001002,1,,5,0,0,0,0,"2 0 2001 -30.71,0.05,-10.79",0,105
由莉的执念,10114,0,1,0,0,0,3,1 2001 10004,1,,5,0,0,0,0,"2 0 2001 8.73,0.05,-17.75",0,101
雷克兽巢穴,10115,0,1,0,0,0,3,1 2001 20046,1,,5,0,0,0,0,1 1 2001 20046,0,101
由莉升天,10116,0,1,0,0,0,3,1 2001 30084,1,,5,0,0,0,0,"2 0 2001 13.88,1.22,-27.59",0,101
温丽的预言,10117,0,1,0,0,0,3,1 2001 30574,1,,5,0,0,0,0,"2 0 2001 1.52,0.15,-0.06",0,101
目标，罗兰镇,10118,0,1,0,0,0,3,1 2001 10006,1,,5,0,0,0,0,"2 0 2001 -1.61,0.05,-1.41",0,101
目标，罗兰镇,10119,0,1,0,0,0,3,1 2001 10004,1,,5,0,0,0,0,"2 0 2001 8.73,0.05,-17.75",0,101
,10223,0,1,0,0,0,3,1 2001 10004,1,,5,0,0,0,0,"2 0 2001 8.73,0.05,-17.75",0,101
,10224,0,1,0,0,0,3,1 2001 30088,1,,2,0,0,0,0,"2 0 2001 10.32,0.05,-11.34",0,101
,10225,0,1,0,0,0,3,1 2001 30087,1,,5,0,0,0,0,"2 0 2001 -5.91,0.05,-14.87",0,108
,10266,0,1,0,0,0,3,1 2001 30085,1,,5,0,0,0,0,"2 0 2001 10.44,0.13,-14.44",0,101
,10677,0,1,0,0,0,3,1 2001 30084,1,,5,0,0,0,0,"2 0 2001 13.88,1.22,-27.59",0,101
