,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型
,10437,0,1,0,0,0,3,1 2003 20344,1,,5,0,0,0,0,1 1 2003 20344,0,101
,10438,0,1,0,0,0,3,1 1000 20108,1,,2,0,0,0,0,1 1 1000 20108,0,101
,10441,0,1,0,0,0,3,1 2001 30396,1,,5,0,0,0,0,"2 0 2001 -1.80,-1.79,59.80",0,101
,10442,0,1,0,0,0,3,1 2001 60138,1,,5,0,0,0,0,1 1 2001 60138,0,104
,10443,0,1,0,0,0,3,1 2001 50057,1,,2,0,0,0,0,1 1 2001 50057,0,105
,10444,0,1,0,0,0,3,1 2001 30397,1,,5,0,0,0,0,"2 0 2001 -0.36,-1.87,64.83",0,101
,10445,0,1,0,0,0,3,1 1000 20228,1,,2,0,0,0,0,1 1 1000 20228,0,108
,10446,0,1,0,0,0,3,"0 1000 -69.54,19.12,-4.14",1,,5,0,0,0,0,"2 0 1000 -69.54,19.12,-4.14",0,101
