,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型
,50000,0,8,0,0,1,3,1 2001 30327,1,,5,0,0,0,0,"2 0 2001 -26.96,0.44,-172.70",0,207
,50001,0,8,0,0,1,3,1 2001 40073,1,,5,0,0,0,0,1 1 2001 40073,0,204
,50002,0,8,0,0,1,3,1 1000 20115,1,,2,0,0,0,0,1 1 1000 20115,0,201
,50003,0,8,0,0,1,3,1 2001 40074,1,,5,0,0,0,0,1 1 2001 40074,0,204
,50004,0,8,0,0,1,3,1 1000 20115,1,,2,0,0,0,0,1 1 1000 20115,0,201
,50005,0,8,1,0,1,3,1 2001 60112,1,,5,0,0,0,0,1 1 2001 60112,0,204
,50006,0,8,0,0,1,3,1 1000 20115,1,,2,0,0,0,0,1 1 1000 20115,0,201
,50007,0,8,1,0,1,3,1 2001 60113,1,,5,0,0,0,0,1 1 2001 60113,0,204
,50008,0,8,0,0,1,3,1 1000 20115,1,,2,0,0,0,0,1 1 1000 20115,0,201
,50009,0,8,0,0,1,3,1 2001 20095,1,,5,0,0,0,0,1 1 2001 20095,0,202
,50010,0,8,0,0,1,3,1 2001 20095,1,,5,0,0,0,0,1 1 2001 20095,0,201
,50011,0,8,0,0,1,3,1 2001 30329,1,,5,0,0,0,0,"2 0 2001 -36.52,0.23,-174.95",0,202
,50013,0,8,0,0,1,3,1 1000 20115,1,,2,0,0,0,0,1 1 1000 20115,0,201
,50014,0,8,0,0,1,3,1 2001 20094,1,,5,0,0,0,0,1 1 2001 20094,0,201
,50015,0,8,0,0,1,3,1 2001 30331,1,,5,0,0,0,0,1 2 2001 900265,0,202
,50016,0,8,0,0,1,3,1 2001 30332,1,,5,0,0,0,0,1 2 2001 900266,0,202
,50017,0,8,0,0,1,3,1 2001 20094,1,,5,0,0,0,0,1 1 2001 20094,0,201
,50018,0,8,0,0,1,3,1 1000 20115,1,,2,0,0,0,0,1 1 1000 20115,0,201
,50147,0,8,0,0,1,3,1 2001 30327,1,,5,0,0,0,0,"2 0 2001 -26.96,0.44,-172.70",0,207
,50148,0,8,0,0,1,3,1 2001 30327,1,,5,0,0,0,0,"2 0 2001 -26.96,0.44,-172.70",0,207
,50149,0,8,0,0,1,3,1 2001 30327,1,,5,0,0,0,0,"2 0 2001 -26.96,0.44,-172.70",0,207
,50150,0,8,0,0,1,3,1 2001 30327,1,,5,0,0,0,0,"2 0 2001 -26.96,0.44,-172.70",0,207
,50151,0,8,0,0,1,3,1 2001 30327,1,,5,0,0,0,0,"2 0 2001 -26.96,0.44,-172.70",0,207
,50152,0,8,0,0,1,3,1 2001 30327,1,,5,0,0,0,0,"2 0 2001 -26.96,0.44,-172.70",0,207
,50208,0,8,0,0,1,3,1 2001 30328,1,,5,0,0,0,0,"2 0 2001 -37.72,0.07,-174.15",0,201
,50209,0,8,0,0,1,3,1 2001 60198,1,,5,0,0,0,0,1 1 2001 60198,0,204
,50210,0,8,0,0,1,3,1 2001 60199,1,,5,0,0,0,0,1 1 2001 60199,0,204
,50211,0,8,0,0,1,3,1 2001 60199,1,,5,0,0,0,0,1 1 2001 60199,0,204
,50212,0,8,0,0,1,3,1 2001 20094,1,,5,0,0,0,0,1 1 2001 20094,0,201
,50213,0,8,0,0,1,3,1 2001 60200,1,,5,0,0,0,0,1 1 2001 60200,0,204
,50214,0,8,0,0,1,3,1 2001 60200,1,,5,0,0,0,0,1 1 2001 60200,0,204
,50215,0,8,0,0,1,3,1 2001 30420,1,,5,0,0,0,0,"2 0 2001 -75.36,0.06,-132.06",0,203
,50216,0,8,0,0,1,3,1 2001 20094,1,,5,0,0,0,0,1 1 2001 20094,0,201
,50217,0,8,0,0,1,3,1 2001 20115,1,,5,0,0,0,0,1 1 2001 20115,0,201
