,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型
,10238,0,1,0,0,0,3,1 2003 30198,1,,5,0,0,0,0,1 2 2003 900190,0,102
,10410,0,1,0,0,0,3,1 2003 30309,1,,5,0,0,0,0,1 2 2003 900240,0,102
,10411,0,1,0,0,0,3,1 2003 30310,1,,5,0,0,0,0,1 2 2003 900241,0,102
,10412,0,1,0,0,0,3,1 2003 30311,1,,5,0,0,0,0,1 2 2003 900242,0,102
,50126,0,8,0,200302,0,3,1 2003 30375,1,,5,0,0,0,0,"2 0 2003 -55.47,0.10,-88.30",0,201
,50127,0,8,0,200302,0,3,1 2003 20165,1,,5,0,0,0,0,1 1 2003 20165,0,201
,50128,0,8,0,200302,0,3,1 2003 30385,1,,5,0,0,0,0,1 2 2003 900293,0,202
,50129,0,8,0,200302,0,3,1 2003 30386,1,,5,0,0,0,0,1 2 2003 900294,0,202
,50130,0,8,0,200302,0,3,1 2003 20165,1,,5,0,0,0,0,1 1 2003 20165,0,201
,50131,0,8,0,200302,0,3,1 1000 20115,1,,2,0,0,0,0,1 1 1000 20115,0,201
,50132,0,8,0,200302,0,3,1 2003 20156,1,,5,0,0,0,0,1 1 2003 20156,0,201
,50133,0,8,0,200302,0,3,1 2003 60136,1,,5,0,0,0,0,1 1 2003 60136,0,204
,50134,0,8,0,200302,0,3,1 2003 30376,1,,5,0,0,0,0,"2 0 2003 -212.80,0.53,-28.56",0,202
,50135,0,8,0,200302,0,3,1 2003 20156,1,,5,0,0,0,0,1 1 2003 20156,0,201
,50136,0,8,0,200302,0,3,1 1000 20115,1,,2,0,0,0,0,1 1 1000 20115,0,201
,50141,0,8,0,200302,0,3,1 2003 30375,1,,5,0,0,0,0,"2 0 2003 -55.47,0.10,-88.30",0,207
,50142,0,8,0,200302,0,3,1 2003 30375,1,,5,0,0,0,0,"2 0 2003 -55.47,0.10,-88.30",0,207
,50268,0,8,0,200302,0,3,1 2003 20493,1,,5,0,0,0,0,1 1 2003 20493,0,201
,50269,0,8,1,200302,0,3,1 2003 60286,1,,5,0,0,0,0,1 1 2003 60286,0,204
