,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1316501,13165,1,301,-1,0,-1,0,301,0,0,1
,1316502,13165,2,101,101,100109,-1,0,301,0,0,1
,1316503,13165,3,301,101,100109,-1,0,301,0,0,1
,1316504,13165,4,101,101,100109,-1,0,301,0,0,1
,1316505,13165,5,301,101,100109,-1,0,301,0,0,1
,1316506,13165,6,101,101,100108,-1,0,301,0,0,1
,1316507,13165,7,201,101,100108,-1,0,201,100204,0,1
,1316601,13166,1,-1,-1,0,-1,0,-1,0,0,1
,1316701,13167,1,-1,-1,0,-1,0,-1,0,0,1
,1316702,13167,2,3997,-1,0,-1,0,3997,0,0,1
,1316703,13167,3,3993,3993,0,-1,0,3997,0,0,1
,1316704,13167,4,3997,3993,0,-1,0,3997,0,0,1
,1316705,13167,5,101,101,100112,-1,0,-1,0,0,1
,1316801,13168,1,101,101,100102,-1,0,-1,0,0,1
,1316802,13168,2,3993,101,100102,-1,0,3993,0,0,1
,1316803,13168,3,3997,101,100102,-1,0,3997,0,0,1
,1316804,13168,4,3993,101,100102,-1,0,3993,0,0,1
,1316805,13168,5,3997,101,100102,-1,0,3997,0,0,1
,1316806,13168,6,101,101,100102,-1,0,3993,0,0,1
,1316807,13168,7,101,101,100102,-1,0,3993,0,0,1
,1316901,13169,1,101,101,100102,-1,0,-1,0,0,1
,1316902,13169,2,3993,101,100102,-1,0,3993,0,0,1
,1316903,13169,3,-1,-1,0,-1,0,-1,0,0,1
,1317001,13170,1,3997,-1,0,-1,0,3997,0,0,1
,1317002,13170,2,101,101,0,-1,0,3997,0,0,1
,1317003,13170,3,301,-1,0,-1,0,301,100302,0,1
,1317004,13170,4,201,-1,0,-1,0,201,0,0,1
,1317005,13170,5,101,101,100112,-1,0,201,0,0,1
,1317006,13170,6,201,101,100112,-1,0,201,0,0,1
,1317007,13170,7,301,101,100112,-1,0,301,0,0,1
,1317008,13170,8,101,101,100106,-1,0,301,0,0,1
,1317009,13170,9,301,101,100106,-1,0,301,100305,0,1
,1317010,13170,10,201,-1,0,-1,0,201,100221,0,1
,1317011,13170,11,301,-1,0,-1,0,301,100305,0,1
,1317101,13171,1,101,101,0,-1,0,-1,0,0,1
,1317102,13171,2,3997,101,0,-1,0,3997,0,0,1
,1317103,13171,3,4001,4001,0,-1,0,3997,0,0,1
,1317104,13171,4,3993,3993,0,-1,0,3997,0,0,1
,1317105,13171,5,3997,3993,0,-1,0,3997,0,0,1
,1317106,13171,6,3997,3993,0,-1,0,3997,0,0,1
,1317107,13171,7,3998,3998,0,-1,0,3997,0,0,1
,1317108,13171,8,101,101,100109,-1,0,3997,0,0,1
,1317109,13171,9,101,101,100109,-1,0,3997,0,0,1
,1317110,13171,10,3997,101,100109,-1,0,3997,0,0,1
,1317111,13171,11,-1,-1,0,-1,0,-1,0,0,1
,1317112,13171,12,3993,3993,0,-1,0,-1,0,0,1
,1317113,13171,13,-1,-1,0,-1,0,-1,0,0,1
,1317114,13171,14,101,101,100113,-1,0,-1,0,0,1
,1317201,13172,1,3993,-1,0,-1,0,3993,0,0,1
,1317202,13172,2,101,101,0,-1,0,3993,0,0,1
,1317203,13172,3,-1,-1,0,-1,0,-1,0,0,1
,1317701,13177,1,201,-1,0,-1,0,201,0,0,1
,1317702,13177,2,101,101,100106,-1,0,201,0,0,1
,1317703,13177,3,301,101,100106,-1,0,301,0,0,1
,1317301,13173,1,101,101,100109,-1,0,-1,0,0,1
