,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,1000278,梵妮,1000,1,21085,0,1,0,0,0,0,0,"-41.97,22.78,69.34",45,1
,1000279,禁卫军加文,1000,1,21086,0,1,0,0,0,0,0,"-43.83,22.78,70.79",114,1
,1000280,禁卫军加文,1000,1,21086,0,1,0,0,0,0,0,"-40.80,22.78,65.05",-17.43,1
,1000281,禁卫军加文,1000,1,21086,0,1,0,0,0,0,0,"-38.20,22.78,70.39",-135,1
,1000282,陷阱,1000,1,30721,0,1,0,0,0,0,0,"-36.21,22.78,67.11",0,1
,1000283,梵妮,1000,2,900603,0,1,1,0,0,0,0,,0,1
,1000284,禁卫军加文,1000,2,900604,0,1,1,0,0,0,0,,0,1
