,required,required,required,required
,uint32,uint32,float,float
,id,audio_id,in_time,duration
备注,流水id,音频id,开始时间,持续时间
,32,500219,0,1.5
,33,500232,0,1
,34,500239,0,3
,35,500204,0,2
,36,500213,0,3.5
,37,500214,0,1
,38,500215,0,2
,39,500218,0,8
,40,500040,0,2
,41,500039,0,3
,42,500104,0,1
,43,500106,0,3
,44,500107,0,2
,45,500081,0,2
,46,500080,0,2
,47,500057,0,2
,48,500062,0,4
,49,500063,0,7
,50,500064,0,3.5
,51,500065,0,4
,52,500133,0,4
,53,500199,0,1
,54,500146,0,2
,55,500243,0,3
,56,500242,0,3.5
,57,500251,0,2.5
,58,500252,0,3
,59,500255,0,6
,60,500075,0,5
,61,500078,0,5
,62,500079,0,10
,63,500108,0,2
,64,500120,0,1
,65,500272,0,4
,66,500288,0,2
,67,12557,0,2
,68,12559,0,3
,69,12560,0,2.5
,70,12561,0,11
,71,12562,0,6
