,required,required,required,required,required
,uint32,uint32,int32,uint32,uint32
,id,hero_id,unlock_level,chinese_id,japanese_id
备注,英雄id拼接音频索引,英雄id,解锁等级,中文的音频id,日文的音频id
,10101,101,0,32,0
,10102,101,0,33,0
,10103,101,0,34,0
,10402,104,0,68,0
,10501,105,0,45,0
,10502,105,0,46,0
,10601,106,0,55,0
,10701,107,0,60,0
,10702,107,0,61,0
,20101,201,0,35,0
,20102,201,0,36,0
,20103,201,0,37,0
,20104,201,0,38,0
,20105,201,0,39,0
,30101,301,0,40,0
,30102,301,0,41,0
,30201,302,0,47,0
,30202,302,0,48,0
,30203,302,0,49,0
