,required,required,required,required,required
,uint32,uint32,int32,uint32,uint32
,id,hero_id,unlock_level,chinese_id,japanese_id
备注,英雄id拼接音频索引,英雄id,解锁等级,中文的音频id,日文的音频id
,10104,101,0,33,0
,10105,101,0,77,0
,10106,101,0,34,0
,10107,101,0,73,0
,10108,101,0,74,0
,10109,101,0,75,0
,10203,102,0,28,0
,10204,102,0,136,0
,10205,102,0,132,0
,10206,102,0,53,0
,10207,102,0,133,0
,10208,102,0,134,0
,10209,102,0,135,0
,10304,103,0,95,0
,10305,103,0,42,0
,10306,103,0,43,0
,10307,103,0,44,0
,10308,103,0,96,0
,10309,103,0,97,0
,10310,103,0,98,0
,10351,103,0,91,0
,10403,104,0,25,0
,10404,104,0,128,0
,10405,104,0,129,0
,10406,104,0,124,0
,10407,104,0,125,0
,10408,104,0,126,0
,10409,104,0,127,0
,10503,105,0,46,0
,10504,105,0,180,0
,10505,105,0,101,0
,10506,105,0,102,0
,10507,105,0,103,0
,10508,105,0,104,0
,10509,105,0,105,0
,10554,105,8,99,0
,10606,106,0,58,0
,10607,106,0,59,0
,10608,106,0,149,0
,10609,106,0,150,0
,10704,107,0,62,0
,10705,107,0,152,0
,10706,107,0,153,0
,10707,107,0,154,0
,10708,107,0,155,0
,10801,108,0,114,0
,10802,108,0,107,0
,10803,108,0,108,0
,10804,108,0,115,0
,10805,108,0,116,0
,10806,108,0,109,0
,10807,108,0,110,0
,10808,108,0,111,0
,10809,108,0,112,0
,10810,108,0,113,0
,10852,108,2,21,0
,11101,111,0,168,0
,11102,111,0,169,0
,11103,111,0,170,0
,11104,111,0,171,0
,11105,111,0,172,0
,11106,111,0,173,0
,11107,111,0,174,0
,11108,111,0,175,0
,11109,111,0,176,0
,11203,112,0,158,0
,11204,112,0,63,0
,11205,112,0,64,0
,11206,112,0,162,0
,11207,112,0,159,0
,11208,112,0,160,0
,11209,112,0,161,0
,11303,113,0,65,0
,11304,113,0,167,0
,11305,113,0,66,0
,11306,113,0,165,0
,11307,113,0,166,0
,11401,114,0,177,0
,11402,114,0,178,0
,11451,114,0,179,0
,20106,201,0,38,0
,20107,201,0,39,0
,20108,201,0,81,0
,20109,201,0,82,0
,20110,201,0,83,0
,20158,201,8,13,0
,30103,301,0,41,0
,30104,301,0,89,0
,30105,301,0,85,0
,30106,301,0,90,0
,30107,301,0,86,0
,30108,301,0,87,0
,30109,301,0,88,0
,30206,302,0,49,0
,30207,302,0,50,0
,30208,302,0,51,0
,30209,302,0,121,0
,30210,302,0,122,0
,30254,302,6,24,0
,40103,401,0,138,0
,40104,401,0,54,0
,40105,401,0,145,0
,40106,401,0,143,0
,40107,401,0,144,0
,40108,401,0,146,0
,40109,401,0,139,0
,40110,401,0,140,0
,40111,401,0,141,0
,40112,401,0,142,0
