,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,702301,,这里有个奇怪的屏障，把路口都挡住了。温丽，你能看出<br>什么吗？有没有办法能解开它？,,,
,702704,,不过，这研究地点也太敏感了吧，居然敢建在王宫地下。<br>我有个大胆的猜想，这研究室的主人怕不是……,,,
,704001,,大姐头，这里有东西！黑乎乎的……像是一个纸团？,,,
,704003,,看上去像是日记？居然被人故意以这么隐蔽的方式隐藏。本<br>大小姐的直觉告诉我，这里面一定有重要信息！,,,
,704004,《实验日记》,7.25。突然收到通知，把所有实验体原地封存，然后立即撤<br>离。而且，要去的地方湿哒哒的，真不知道自己能不能适应。,,,
,704005,,这个日记居然没有用密文撰写，看起来像是自话自说的<br>随笔。而且，撤离？是搬离这里吗？,,,
,704101,《实验日记》,7.26。搬离得太匆忙了，许多实验器材和研究报告都来不及<br>整理。希望，不会落下什么东西吧，不然绝对会被惩罚的。,,,
,1277704,,像他夺走的神器·光明使者，原本是罗兰大帝的配剑。虽<br>然在对战魔神时折断了，但依然拥有至纯的光明之力。,,,
,1277705,,而封印在哀嚎神殿的神器·噬法者，却有着无与伦比的<br>暗黑力量，能吞噬持有它的魔法师的魔力。,,,
,1277801,,在泰雷的帮助下，西蒙一行就像来时一样，悄无声息的<br>离开了王宫。,,,
,1277802,,没想到居然有人研究这种可怕的力量，而且怎么会是<br>在王宫里面？细思恐极啊。,,,
,1277803,,（哥哥也发现了这件事？他的举动会跟这事有关吗？）<br>温丽，你比我们都了解魔法，你知道这是什么吗？,,,
,1277804,,我看过的魔法书里很少提到暗黑力量，就算提到的，也<br>只有简单描述……,,,
,1278101,,爷爷~这个真的很重要啊~你一定知道的是不是~你就告 诉我嘛~~~,,,
,1278102,,我的小温丽，你的探索精神爷爷真是……太感动了！<br>哦噜噜噜，但这事情十分机密，在这里说不太合适。,,,
,1278103,,小温丽，你先去我书房等我吧，我们待会儿再见。,,,
,1299501,,可是当时我们没有讨论出结果，他似乎对力量这件事十分<br>在意……好了，我们快走吧！这里不适宜讨论太多。,准备好了，马上进入。,稍等一下，进行最后确认。,
