,required,required,repeated,repeated,required
,uint32,uint32,uint32,uint32,uint32
,id,level_id,monster1_id,monster2_id,boss_id
备注,ID,关卡id,战力,多人boss,怪物id
,1,3097,200466;200467,0,200468
,2,3099,200777;200778,200491;200492,200493
,3,3098,200779;200780,200781;200782,200783
,4,3096,200459;200460,200461;200462,200463
,5,3101,200499;200500,200501;200502,200503
,6,3102,200504;200505,200506;200507,200508
,7,3105,200514;200515,200516;200517,200518
,8,3111,200549;200550,200551;200552,200553
,9,3115,200569;200570,200571;200572,200573
,10,3104,200519;200520,200521;200522,200523
,16,3106,200524;200525,200526;200527,200528
,17,3109,200539;200540,200541;200542,200543
,18,3116,200574;200575,200576;200577,200578
,19,3112,200554;200555,200556;200557,200558
,20,3114,200564;200565,200566;200567,200568
