,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,type,data1,data2,data3,itemtype_ID1,itemtype_num1,itemtype_ID2,itemtype_num2,itemtype_ID3,itemtype_num3,itemtype_ID4,itemtype_num4
备注,流水ID,活动类型,表示奖励的参数,表示奖励的参数,表示奖励的参数,奖励物品1ID,奖励物品1数量,奖励物品2ID,奖励物品2数量,奖励物品3ID,奖励物品3数量,奖励物品4ID,奖励物品4数量
,241,2,0,0,0,3030013,1,2000054,1,204020,2,13,100
,10318,3,11,0,0,3030013,1,204030,2,13,100,0,0
,10319,3,12,0,0,3030013,1,3060030,2,13,100,0,0
,10320,3,13,0,0,3030013,2,1,300,13,100,0,0
,10321,3,14,0,0,3030013,2,2000064,2,13,100,0,0
,10322,3,15,0,0,3030013,2,204030,3,13,100,0,0
,10323,3,21,0,0,3030013,3,3060030,3,13,100,0,0
,10324,3,22,0,0,3030013,3,1,500,13,100,0,0
,10325,3,23,0,0,3030013,3,2000064,3,13,100,0,0
