,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,30201,302,1,3480,-1,0,-1,0,3480,0,12765,0
,30202,302,2,3480,-1,0,-1,0,3480,0,12775,0
,30203,302,3,103,103,0,-1,0,3480,0,12766,0
,1011701,10117,1,2035,-1,0,-1,0,2035,102600,12767,1
,1011805,10118,5,3037,101,100108,-1,0,3037,114001,12721,0
,1012701,10127,1,3088,-1,0,3088,0,-1,0,12717,1
,1012702,10127,2,3088,-1,0,3088,0,-1,0,12720,1
,1013001,10130,1,201,101,100104,-1,0,201,100213,12773,1
,1013002,10130,2,201,101,100104,-1,0,201,100213,12774,1
,1069801,10698,1,101,101,100108,-1,0,-1,0,10699,0
,1198501,11985,1,101,101,0,-1,0,-1,0,12761,1
,1198502,11985,2,101,101,0,-1,0,-1,0,12762,1
,1198603,11986,3,3318,3318,0,-1,0,-1,0,12715,1
,1198604,11986,4,3318,3318,0,-1,0,-1,0,12716,1
,1198605,11986,5,3480,3318,0,-1,0,3480,0,12763,1
,1198606,11986,6,103,103,0,-1,0,3480,0,12527,1
,1198607,11986,7,3480,103,0,-1,0,3480,0,12764,1
,1237101,12371,1,201,-1,0,-1,0,201,100213,10700,0
,1237102,12371,2,101,101,100108,-1,0,201,100213,12936,0
,1237201,12372,1,201,-1,0,-1,0,201,100209,12937,0
,1237203,12372,3,101,101,100104,-1,0,201,100209,12938,0
,1237204,12372,4,201,101,100104,-1,0,201,100219,12939,0
,1243902,12439,2,201,201,100205,-1,0,2031,0,12768,1
,1243903,12439,3,2035,201,100205,-1,0,2035,0,12769,1
,1243904,12439,4,201,201,100205,-1,0,2035,0,12770,1
,1243905,12439,5,2035,201,100205,-1,0,2035,0,12771,1
,1243906,12439,6,2035,201,100205,-1,0,2035,0,12772,1
,1244001,12440,1,1002,1002,162001,-1,0,-1,0,12758,1
,1244002,12440,2,1002,1002,162001,-1,0,-1,0,12759,1
,1244003,12440,3,1000,1002,162001,-1,0,1000,0,12760,1
,1259701,12597,1,201,-1,0,-1,0,201,100214,12940,1
,1259702,12597,2,101,101,100109,-1,0,201,100214,12941,1
,1259703,12597,3,201,101,100109,-1,0,201,100214,12942,1
,1313601,13136,1,201,-1,0,-1,0,201,0,10698,0
