,required,required,required,required
,uint32,uint32,float,float
,id,audio_id,in_time,duration
备注,流水id,音频id,开始时间,持续时间
,67,590051,0,2
,68,590060,0,3
,69,590110,0,2.5
,70,590098,0,11
,71,590105,0,5.5
,72,590099,0,3.2
,73,590100,0,5
,74,590101,0,3.2
,75,590102,0,9
,76,590103,0,2
,77,590104,0,2.5
,78,13044,0,2.5
,79,590093,0,2
,80,590094,0,1.5
,81,590095,0,2.5
,82,590096,0,2.7
,83,590097,0,3
,84,590011,0,2
,85,590012,0,1
,86,590013,0,1.5
,87,590014,0,2.5
,88,590015,0,3.5
,89,590016,0,2.5
,90,590017,0,6.9
,92,590044,0,3
,93,590045,0,3
,94,590046,0,3
,95,590047,0,1
,96,590048,0,2.8
,97,590049,0,3
,98,590050,0,4.8
,100,590037,0,2.5
,101,590039,0,2
,102,590040,0,2
,103,590041,0,3
,104,590042,0,1.7
,105,590043,0,4
,107,590001,0,1.6
,108,590002,0,1.5
,109,590003,1,3
,110,590004,0,2.5
,111,590005,0,3.5
,112,590006,0,4
,113,590007,0,4.8
,114,590008,0,3
,115,590009,0,3.3
,116,590010,0,5
,118,590018,0,2.5
,119,590019,0,4
,120,590020,0,2.5
,121,590021,0,3.5
,122,590022,0,4
,123,590061,0,2.5
,124,590062,0,3.5
,125,590063,0,3
,126,590064,0,2
,127,590065,0,3.5
,128,590066,0,5
,129,590067,0,3
,130,590086,0,3.5
,131,590087,0,2
,132,590088,0,2
,133,590089,0,1.5
,134,590090,0,2.5
,135,590091,0,3.5
,136,590092,0,3.5
,137,590073,0,3
,138,590074,0,3
,139,590075,0,7
,140,590076,0,2
,141,590077,0,3
,142,590078,0,3
,143,590079,0,5.5
,144,590080,0,3
,145,590081,0,3
,146,590082,0,3
,147,590106,0,4
,148,590107,0,3
,149,590108,0,2
,150,590109,0,5
,151,590032,0,4
,152,590033,0,3
,153,590034,0,3
,154,590035,0,3
,155,590036,0,5
,156,590052,0,4
,157,590053,0,1.5
,158,590054,0,3.5
,159,590055,0,2.5
,160,590056,0,2.5
,161,590057,0,2.5
,162,590058,0,3
,163,590068,0,3
,164,590069,0,4.5
,165,590070,0,4.5
,166,590071,0,8.5
,167,590072,0,6
,168,590023,0,6
,169,590024,0,5
,170,590025,0,5
,171,590026,0,3
,172,590027,0,5
,173,590028,0,2
,174,590029,0,6
,175,590030,0,3
,176,590031,0,6
,177,590083,0,4.5
,178,590084,0,5.5
,179,590085,0,3
,180,590038,0,3
