,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,2001102,由莉,2001,1,20046,0,1,0,0,0,0,0,"10.62,0.05,-11.93",330,1
,2001107,湖畔镇陷阱6,2001,1,30086,0,1,0,0,0,0,0,"2.01,0.05,-15.46",0,1
,2001109,湖畔镇陷阱2,2001,1,30082,0,1,0,0,0,0,0,"-7.79,0.05,4.87",0,1
,2001115,红袭盗匪,2001,2,900126,0,1,1,1,0,0,0,"-5.84,0.05,6.71",270,1
,2001116,温丽,2001,2,900128,0,1,1,0,0,0,0,"-5.84,0.05,6.71",270,1
,2001118,赤瞳战狼,2001,2,900127,0,1,0,1,0,0,0,"6.94,0.05,-6.19",150,1
,2001119,赤瞳战狼,2001,2,900127,0,1,0,1,0,0,0,"3.74,0.10,-3.79",313.76,1
,2001120,解密屋前陷井,2001,1,30211,0,1,0,0,0,0,0,"-7.79,0.05,-15.66",0,1
,2001955,坠落的船只,2001,1,10015,0,1,0,0,0,0,0,"-3.95,-2.55,66.80",0,1
,3011005,狐克斯,3011,2,200155,4,1,1,0,0,0,53,,0,1
,3011020,狐克斯,3011,2,200155,9,1,0,0,0,0,53,,0,1
,3031003,哥布林巢穴陷阱2,3031,1,30014,0,1,0,0,0,0,53,"1.45,0.13,24.53",0,1
,3031004,宝箱,3031,1,40003,0,1,0,0,0,0,53,"-17.31,0.13,35.27",168.5,1
,3031005,宝箱,3031,1,40004,0,1,0,0,0,0,53,"-21.3,0.13,168.3",148.7,1
,3031006,宝箱,3031,1,40005,0,1,0,0,0,0,53,"46.584,0.133,163.19",202.982,1
,3031013,猩红魔箱,3031,2,200088,7,1,0,0,0,0,53,,0,1
,3031014,猩红魔箱,3031,2,200088,8,1,0,0,0,0,53,,0,1
,3031015,夜崎隐,3031,2,200083,9,0,1,0,0,0,53,"44.77,0.15,143.979",202.982,1
,3031023,哥布林秘宝,3031,1,40029,0,1,0,0,0,0,0,"-47.46,0.07,17.38",18.275,1
,3031031,哥布林秘宝,3031,1,40037,0,1,0,0,0,0,0,"-83.45,0.03,18.41",86.27,1
,3031032,哥布林格德,3031,1,20901,0,1,0,0,0,0,0,"-43.403,0.07,22.948",222.902,1
,3071012,赫拉克之箱,3071,1,40149,0,1,0,0,0,0,0,"2.629675,5.4875,8.9864",97,1
,3071013,生物实验箱,3071,1,40192,0,1,0,0,0,0,0,"6.06,6.517,1.23",0,1
,3089001,圣晶宝箱,3089,1,40182,0,1,0,0,0,0,0,"48.84,0.04,18.25",-116.41,2
,3089002,普通宝箱,3089,1,40183,0,1,0,0,0,0,0,"38.45,-0.01,6.29",-35.1,1
,3089003,普通宝箱,3089,1,40184,0,1,0,0,0,0,0,"38.08,0.03,20.41",139.09,1
,3089004,普通宝箱,3089,1,40185,0,1,0,0,0,0,0,"45.8,0.03,26.2",-205.49,1
,3089005,普通宝箱,3089,1,40186,0,1,0,0,0,0,0,"26.6,0.023,0.16",11.846,1
