,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,30204,,（兰奇的加入拉开了阴谋的序章，而此时西蒙经过长途跋涉到达湖<br>    畔镇。未来的事尚不可知，等待他的是新的冒险。）,,,
,1011101,,呼，湖畔镇终于到了。我要抓紧时间，把那些事统统解决！,,,
,1011102,,诺尔大人说他自有安排，可是他也没说到底安排了什么……,,,
,1011103,,啊，不管了！那边好像有人，我先去问问看！,,,
,1011201,,陌生的哥哥，你好呀~你找由莉和米修有什么事呀？,,,
,1011203,,我是奥兹家族的西蒙，未来的帝国第一剑士！请问……,,,
,1011204,,要这样自我介绍吗？那我叫由莉，来自……呃……哪里？<br>对了，它叫米修，是我的好朋友！,,,
,1011207,,西蒙哥哥，你有没有见过我的爸爸妈妈？我跟他们走散了，奇怪……好多事我都记不清了……,,,
,1011402,,喂！不要一言不合就要开打呀！这都是误会啊！你听我解释……,,,
,1011404,,这位温丽大小姐，我真的没有欺负她！而且，我也不擅长跟<br>女孩子打架啊！,呀……只能硬着头皮上了！,,
,1011501,,温丽姐姐，你们别打了！西蒙哥哥不是坏人。,,,
,1011503,,不是的，我只是被怪物吓哭了。是西蒙哥哥把怪物打跑了。<br>对吧，米修？,,,
,1011506,,喂喂，这位温丽大小姐！你以为这样随便解释就可以了吗？,,,
,1011509,,哼，本大小姐当然知道！不过嘛，我就不告诉你！,,,
,1011511,,我……要你管！不过，你求我的话，我可以考虑告诉你。,,,
,1011512,,好吧，让你一次……温丽大小姐，求你告诉我吧！,,,
,1011514,,你们要去哪里玩呀？由莉和米修也要一起去！,,,
,1011603,,你们是谁？找我什么事？还有，我叫海莉，不是海蛎，也不是赫丽，更不是海狸！,,,
,1011605,,抱歉抱歉，我们大概找错人了。温丽大小姐，你有什么想说的吗？,,,
,1011606,,哈哈……这只是意外啦。再厉害的人都有出错的时候嘛……,,,
,1011609,,……好好好，是我不好。<br>那么，这位厉害的温丽小姐，我们现在怎么办？,,,
,1011610,,那我带你去找<color=#bd4104>桑妮祭司</color>。她是最了解这个镇子的人，一定会知道！,,,
,1011701,,是温丽啊。你后面的是……啊，男孩子！难道你要结婚了吗？是你爷爷特罗德会长让你来找我给你证婚吗？,,,
,1011702,,才不是！桑妮姐姐，你又在乱想什么？他有事想请教你，<br>我只是顺路带他过来。,,,
,1011704,,桑妮祭司，我受帝国右相的委托，来寻找<color=#bd4104>赫丽</color>和<color=#bd4104>卡诺萨之光</color>。<br>请问你有线索吗？,,,
,1011707,,赫丽是谁？我不知道。卡诺萨之光的话，我倒是有印象。,,,
,1011710,,好吧，我曾经在记载罗兰大帝光辉事迹的<color=#bd4104>《罗兰颂歌》</color>中读到过它。,,,
,1011711,,只是我记不清它被放在哪儿了。你们去教堂东边的<color=#bd4104>储物室</color>找找，<br>我把东西都放在那里了。,,,
,1011712,,我现在就去找！温丽，你也一起来吧！,,,
,1011713,,嗯，好！等等，我干嘛要和你一起去啊。,,,
,1011715,,同伴……谁是你同伴啊！还真会自说自话呢……,,,
,1011718,,先声明，本大小姐只是怕你找不到，好心帮帮你而已！！<br>仅此而已哦！,,,
,1011719,,你们去哪里呀？是要带我去找爸爸妈妈吗？由莉和米修也要一起去！,,,
,1011801,,温丽，这本书上写的字，为什么我一个字也看不懂？,,,
,1011802,,我看看！似乎这是罗兰皇室的专用文字，我虽然听说过，<br>但并没有学过……,,,
,1011803,,问问<color=#bd4104>桑妮姐姐</color>吧。她是出来历练的皇室祭司，或许有所了解。,,,
,1011806,,放心吧，我会保护好由莉！倒是大小姐，你自己小心点。,代表芙蕾雅家族惩罚你！,,
,1011901,,魔物的气息……跟之前袭击卡诺萨城的那些家伙一样！<br>西蒙，你保护好由莉，我去对付它！,,,
,1012002,,我没事，不过由莉有点不对劲。她明明没有受伤，却一直喊疼，<br>而且她的身体……,,,
,1012003,,呜呜呜……好熟悉的感觉，好像曾经被什么东西扎穿了身体……<br>好疼啊……西蒙哥哥……,,,
,1012004,,呜呜呜……什么东西……好可怕……胸口好疼啊……<br>爸爸妈妈你们在哪里……,,,
,1012005,,米修，爸爸妈妈不要我了吗？我好害怕……要是妈妈能用鱼骨笛给我吹曲子就好了……,,,
,1012006,,真是的，你怎么没有保护好由莉？走开，我先为她治疗一下！,,,
,1012101,,桑妮姐姐，由莉……由莉的身体变得有些透明！这是怎么回事？,,,
,1012102,,我果然没有猜错，看来是这孩子了。其实我接受了一对<br>“特别的”夫妇的委托……,,,
,1012103,,他们一家在国王遇刺的那天，被入侵这儿的魔物谋害了。但他们发现找不到女儿的灵魂了。,,,
,1012104,,他们希望我能帮他们找到迷失的女儿，至少在那个世界<br>能一家团聚……,,,
,1012106,,是的。由莉还不明白死亡是什么。她只是凭着对爸爸妈妈的执念，<br>留在世间。,,,
,1012107,,小由莉记得妈妈经常吹<color=#bd4104>鱼骨笛</color>给她听。只有满足她的这个愿望，执念才会被宽慰。,,,
,1012109,,他们的首领<color=#bd4104>狼王乌迪尔</color>每杀害一个人，就会带走他们身上一件物品。你们去那里找找吧。,,,
,1012110,,这件事就包在我的身上了！走吧，温丽。,,,
,1012201,,我们去<color=#bd4104>教堂</color>找<color=#bd4104>由莉</color>吧……她一定很想爸爸妈妈了……,,,
,1012301,,桑妮姐姐，我们找到鱼骨笛了……由莉……由莉会高兴的……,,,
,1012401,,小由莉，我们找到你的鱼骨笛啦，爸爸妈妈还没来，<br>让温丽姐姐吹给你听好不好？,,,
,1012406,,好像有人在喊由莉，好熟悉的声音……是爸爸妈妈！<br>米修！爸爸妈妈来接我回家啦！,,,
,1012407,,什么……原来是这样吗……米修，对不起……我想起来了……<br>我应该……不能再继续跟你一起玩了……,,,
,1012409,,我得和爸爸妈妈一起走啦，不能陪着你了……哥哥姐姐们，<br>请你们……帮我照顾好米修……,,,
,1012410,,能遇到你们，真的……太好了……再见啦……,,,
,1012501,,再见了，由莉。喂，大小姐，你不是在哭吧？,,,
,1012503,,走吧，别伤心了……你该替由莉高兴的，她可以和爸爸妈妈团聚了。,,,
,1012504,,我当然知道啊……呜……可是我就是控制不住嘛。,,,
,1012506,,你看，你再这么伤心，米修也要哭了。你忘记我们答应由莉的<br>事情了吗？,,,
,1012602,,（经历了刚才的事情，疲惫的温丽很快就睡着了。在熟睡之后，<br>    一股神秘的力量拉扯着她坠入梦境……）,,,
,1012701,？？？,哈哈哈，汝等费尽心思寻找女王，殊不知汝等早已沦为他人手中之棋子。所做之事，不过是枉费心机。,,,
,1012704,,（怎么回事？我又做预言梦了？那个怪物真是个可怕的对手，<br>    难道以后……）,,,
,1012705,,（梦里有我，有西蒙，还有那个佩戴手环的大姐头是谁……）,,,
,1012801,,温丽，你还好吧？发生了什么？,,,
,1012803,,嘿！桑妮祭司，请问《罗兰颂歌》的解读完成了吗？,,,
,1012804,,算是完成了，《罗兰颂歌》其实是罗兰家谱，里面记载了<br>罗兰皇室的故事。,,,
,1012805,,但是有一部分关键内容是以密文写成，我无法解读。,,,
,1012806,,那该怎么办？要是连桑妮祭司都无法解读的话……,,,
,1012807,,或许<color=#bd4104>罗兰镇</color>的<color=#bd4104>大卫</color>可以帮你，他是密文的资深研究者。,,,
,1012811,,（啊啊，怎么会是他呢？未来究竟会发生什么？）,,,
,1012812,,（太令人在意了！不行！我得弄清楚是怎么回事！）,,,
,1012905,,同伴……咳咳，我才不是因为你说了同伴，就和你一起走呢！,,,
,1043301,,身体动不了了……这种感觉……难道我又开始做预言梦了吗？,,,
,1043302,,我为什么会在这里？会梦到什么，会在什么时候梦到……可恶……为什么我无法控制这件事……,,,
,1043303,,爷爷……要是特罗德爷爷在就好了……也许他会知道……,,,
,1053201,,善良的孩子，你们做的很好，先回去<color=#bd4104>旅馆</color>休息一下吧。,,,
,1054101,,温丽，你停在这里做什么？哦，我知道了！你是害怕……,,,
,1054102,,当然是要做战前准备啊。你也赶紧提升下自己的实力吧！<br>不然等会你打不过他们，本大小姐可不会救你哦。,,,
