,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,string,string,string,float,float,float,uint32,uint32,float,uint32,uint32,string
,id,levelId,pathId,position,rotation,safePos,patrolSpeed,fightDistance,triggerDistance,triggerAngle,noColor,attack_radius,patrolMinStayTime,patrolMaxStayTime,paths
备注,id,场景ID,路径ID,坐标,角度,英雄安全点,巡逻速度,战斗距离,触发距离,触发角度,视野颜色0可见1不可见,偷袭距离,巡逻最小停留时间,巡逻最大停留时间,路径
,3067001,3067,1,"12.6,0.1,14.7","0,0,0","3.534,0.1,11.17",0.5,10,10,20,0,1.8,500,2000,"18.273,0.1,14.599;28.82,0.08,12.28;19.15,0.08,12.77;12.121,0.039,14.926;"
,3067002,3067,2,"38.1,0.1,13.1","0,0,0","3.534,0.1,11.17",0.5,10,10,20,0,1.8,500,2000,"48.537,0.1,19.563;38.39,0.11,14.44;"
,3067003,3067,3,"46.5,0.16,30.3","0,0,0","47.72,0.08,19.22",0.5,10,10,20,0,1.8,1000,1000,"37.5,0.1,41.3;46.5,0.16,30.3;"
,3067004,3067,4,"41,0.1,42","0,0,0","47.72,0.08,19.22",0.5,10,10,20,0,1.8,1000,1000,"50,0.1,31;41,0.1,42;"
,3067005,3067,5,"25.59,0.1,45.69","0,0,0","47.72,0.08,19.22",0.5,10,10,20,0,1.8,500,2000,"19.20,0.08,56.03;27.034,0.1,45.203;34.925,0.07,39.932;"
,3067006,3067,6,"39.06,0.1,52.49","0,0,0","47.72,0.08,19.22",0.5,10,10,20,0,1.8,500,2000,"36.535,0.1,44.029;49.535,0.1,67.039;"
,3067007,3067,7,"70.6,0.1,56.6","0,0,0","59.9,0.1,70.33",0.5,7,7,360,0,1.8,500,2000,
,3067008,3067,8,"46.5,0.16,30.3","0,0,0","47.72,0.08,19.22",0.5,10,10,20,0,1.8,1000,1000,"37.5,0.1,41.3;46.5,0.16,30.3;"
,3067009,3067,9,"41,0.1,42","0,0,0","47.72,0.08,19.22",0.5,10,10,20,0,1.8,1000,1000,"50,0.1,31;41,0.1,42;"
,3067010,3067,10,"25.59,0.1,45.69","0,0,0","47.72,0.08,19.22",0.5,10,10,20,0,1.8,500,2000,"19.20,0.08,56.03;27.034,0.1,45.203;34.925,0.07,39.932;"
,3067011,3067,11,"39.06,0.1,52.49","0,0,0","47.72,0.08,19.22",0.5,10,10,20,0,1.8,500,2000,"36.535,0.1,44.029;49.535,0.1,67.039;"
,3067012,3067,12,"70.6,0.1,56.6","0,0,0","59.9,0.1,70.33",0.5,7,7,360,0,1.8,500,2000,
,3067013,3067,13,"64.37,0.164,59.99","0,90,0","39.0761,0.01560974,52.43032",1,5,5,360,0,0,500,2000,
,3067014,3067,14,"41.01,0.08,43.97","0,145.768,0","45.97892,0.08,18.53675",0,5,5,360,0,0,500,2000,
,3089001,3089,1,"18.11,0.02,2.16","0,230,0","6.949998,0.03,-2.920004",0.5,5,5,80,0,1.8,500,2000,"29.86,0.021,5.967;38.53,0.041,14.406;29.86,0.021,5.967;18.11,0.02,2.16;"
,3089002,3089,2,"52.92,0.03,16.27","0,300,0","6.949989,0.03,-2.920002",0,7,7,360,0,0,500,2000,
,3089003,3089,3,"62.15,-9.29,-4.465","0,230,0","60.97,-9.28,4.099999",0.5,5,5,80,0,1.8,500,2000,"70.96,-9.29,0.031;76.75,-9.288,4.031;70.96,-9.29,0.031;62.15,-9.29,-4.465;"
,3089004,3089,4,"89,-9.19,39.3","0,230,0","60.97,-9.28,4.099999",0,7,7,360,0,0,500,2000,
,3089005,3089,5,"42.5,-9.04,-6.93","0,49,0","60.97,-9.28,4.099999",0,7,7,360,0,0,500,2000,
,3089006,3089,6,"81.84,-8.01,44.326","0,49,0","60.97,-9.28,4.099999",0,7,7,360,0,0,500,2000,
,3089007,3089,7,"58.14288,-0.02187347,8.426992","0,0,0","6.82,0,-1.97",0,5,5,360,0,0,500,2000,
,3089008,3089,8,"38.61549,0.03349686,6.520034","0,0,0","6.82,0,-1.97",0,5,5,360,0,0,500,2000,
,3089009,3089,9,"56.904,0.03,21.953","0,230,0","6.82,0,-1.97",0,5,5,360,0,0,500,2000,
,3089010,3089,10,"93.69791,-8.011996,42.9256","0,-110,0","77.41,-9.29,4.199998",1,7,7,360,0,0,500,2000,
,3089011,3089,11,"93.69791,-8.011996,42.9256","0,-110,0","77.41,-9.29,4.199989",1,3,3,360,0,0,500,2000,
,3089012,3089,12,"90.84839,-9.197386,29.15305","0,0,0","77.41,-9.29,4.199999",1,3,3,360,0,0,500,2000,
