,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3089001,圣晶宝箱,3089,1,40182,0,1,0,0,0,0,0,"48.84,0.04,18.25",-116.41,2
,3089002,普通宝箱,3089,1,40183,0,1,0,0,0,0,0,"38.45,-0.01,6.29",-35.1,1
,3089003,普通宝箱,3089,1,40184,0,1,0,0,0,0,0,"38.08,0.03,20.41",139.09,1
,3089004,普通宝箱,3089,1,40185,0,1,0,0,0,0,0,"45.8,0.03,26.2",-205.49,1
,3089005,普通宝箱,3089,1,40186,0,1,0,0,0,0,0,"26.6,0.023,0.16",11.846,1
,3089006,怪物宝箱,3089,1,40187,0,1,0,0,0,0,0,"58.76,0.03,24.12",49.09,1
,3089007,海魔,3089,2,200418,9,1,0,0,0,0,72,,0,1
,3089008,宝箱怪,3089,2,200419,8,1,1,0,0,0,72,,0,1
,3089009,J博士,3089,2,200420,7,1,1,0,0,0,72,,0,1
,3089010,J博士NPC,3089,1,20591,0,1,0,0,0,0,0,"57.92,-0.02,8.86",330.114,1
,3089011,J博士陷阱,3089,1,30595,0,1,0,0,0,0,0,"55.79,0.0,13.15",0,1
,3089012,小鱼人,3089,1,20592,0,1,0,0,0,0,0,"33.06,0.00,12.95",139.09,1
,3089013,树精叽叽,3089,1,20604,0,1,0,0,0,0,0,"31.81,0.00,14.666",139.09,1
,3089014,树精叽叽,3089,1,20605,0,1,0,0,0,0,0,"41.65,0.03,22.63",139.09,1
,3089015,树精喳喳,3089,1,20606,0,1,0,0,0,0,0,"48.79,0.19,8.92",319.09,1
,3089016,树精喳喳,3089,1,20607,0,1,0,0,0,0,0,"57.53,0.03,15.89",319.09,1
,3089017,默希娅,3089,2,200478,9,1,0,0,0,0,72,,0,1
,3089018,稀有宝箱1,3089,1,40227,0,1,0,0,0,0,0,"58.76,0.03,24.12",-131.59,1
,3089019,稀有宝箱2,3089,1,40228,0,1,0,0,0,0,0,"58.76,0.03,24.12",-131.59,1
