,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,1049701,,爱琳娜姐姐，没想到西蒙居然晕飞艇！我可以用这个笑话他一整年！,,,
,1049703,,我……我只是不习惯……呃……,,,
,1049704,,你够了！都已经下飞艇了，你还在吐！敢再吐在我身上，<br>我就把你揍到怀疑人生！,,,
,1049705,,啊……我好了，我好了！我们接下来要去哪里？,,,
,1049706,,让我看下，邀请函上写：日光与遗迹交汇之地。这个是什么意思呢？,,,
,1049707,,会不会有某种特殊的含义？我们最好找一个当地人问问。,,,
,1049801,,哟，前面的胖大叔！我是西蒙，来自卡诺萨的奥兹家族。我们想向你打听一个地方！,,,
,1049802,,谁是胖大叔？我这么瘦！大家都进不去的虫洞，我可是凭借我苗条的身体，一下子就进去了！,,,
,1049803,,呃，好吧……<br>瘦大叔，请告诉我们“日光与遗迹交汇之地”是在哪里？,,,
,1049804,,要知道猎魔人从来不随便透露消息。如果你们想要知道的话，就先帮我一起狩猎，然后将猎物送到<color=#bd4104>玛瑙街32号</color>。,,,
,1049805,,可以，那就这么说定了。我也不想白拿你的消息！,,,
,1049807,,哈哈，猎物来了。我提醒你们一句，别小瞧这种狐狸，它可没有那么好对付。,奥兹之力所向披靡！,看你可爱，暂时放过你。,
,1049902,,嘘！你们小声点……是新来的冒险者吧，好心告诉你们，那个地方绝对不要去！,,,
,1049904,,都让你小声点了！如果你们不想和那个人一起被通缉的话，那就绝对不要去！,,,
,1049905,,让我们小声点，自己却说那么大声。不过那个人是谁？<br>他为什么会被通缉呢？,,,
,1050001,,小鬼，你知道玛瑙街32号怎么走吗？以及镇子上是谁被通缉了？,,,
,1050002,,谁是小鬼，我看起来像黄胡子一样矮吗？还有你们也不要提起那个投毒的猎魔人！,,,
,1050003,,你这是什么口气？我要替你父母好好教育下你！,,,
,1050004,,爱琳娜姐姐，我们去找其他人问问……她还只是个孩子，<br>别和她计较了。,,,
,1050101,,小朋友，你知道玛瑙街32号在哪里吗，镇子上到底发生了什么？,,,
,1050102,,走开，我不是小孩！你们要去那个地方，肯定和想赚我们钱的猎魔人是一伙的！,,,
,1050103,,你们有没有觉得这里很奇怪？不仅所有的人都很排斥玛瑙街32号，而且……,,,
,1050104,,而且这个镇上全是小孩，还说有个猎魔人下毒害他们，这里面<br>一定有问题！,,,
,1050105,,猎魔人？我们之前遇到的胖大叔就自称猎魔人，该不会就是他吧？,,,
,1050106,,先别管是不是他了，现在已经超过了我的用餐时间。我们去那边吃点东西，顺便打听消息吧。,,,
,1050301,,老板，快给我来一份狐丁烩饭！我听说这是三月边陲的特色菜肴……,,,
,1050302,,哈哈哈，这位小姐倒是很了解啊！这道菜是神对这片荒漠的唯一<br>馈赠。另外两位需要来一份吗？,,,
,1050303,,好的，不过我想问下为什么镇子上都是小孩？还有，那个猎魔人到底做了什么，大家那么讨厌他？,,,
,1050304,,小？！你在说我哪里小！<br>全镇的人都是和我一样的高，你还敢像以前一样嘲笑我矮！？,,,
,1050305,,哎，别误会，我们没有在说你矮……我们只是在问你，猎魔人到底做了什么事情！,,,
,1050306,,矮？！你凭什么说我矮！<br>我们矮人族天生就这么高，你凭什么歧视我！,,,
,1050307,,你是不是听不懂人话？！是不是非逼我揍你？！听好了，我们只是在问你猎魔人到底做了什么！,,,
,1050308,,呃，这样啊……那是因为有人在水源月牙湖里投放了童稚药水，镇民们喝了水后全部变成了幼童。,,,
,1050309,,现在全镇只有猎魔人阿比旦没有变成幼童，不是他还会是谁？他肯定是想借机赚取大家的保护费！,,,
,1050401,,请问，有人在家吗？我是卡诺萨的西蒙，我帮一个胖大叔送东西。,,,
,1050403,小女孩,大家都说是他把毒药投进了月牙湖，可是他怎么可能做那样的事？,,,
,1050404,小女孩,在我被魔物攻击的时候是他救了我，还让我留下养伤。一个愿意为陌生人失去左眼的人，怎么可能会投毒？,,,
,1050405,,原来那个胖大叔就是阿比旦？没想到他居然那么勇敢……<br>或许这件事里有误会？,,,
,1050406,小女孩,现在必须马上阻止有毒的水扩散，否则阿比旦会成为整个三月边陲<br>的公敌……,,,
,1050407,小女孩,只要关闭月牙湖的水闸，然后排空有毒的水，就能阻止它的扩散了。,,,
,1050408,小女孩,可是现在我变成了小孩，根本没办法对付那里的怪物……能不能请你们帮忙去月牙湖一趟？,,,
