,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,1198602,,（萨米尔带着兰奇来到了位于龙息古地的秘密基地，在那里等待<br>   他们的是圣界首领乔伊。）,,,
,1198603,,老大，神器到手了。那群禁卫军还是和以前一样没用，我们不过是驱使些没脑子的魔物过去，他们就乱成那样。,,,
,1198604,,至于这家伙，确实做到了之前答应的事。他还顺手解决了那个废物国王，所以我带他过来。,,,
,1198605,,哦？人人称颂的大剑士，帝国忠诚的守护者，居然为了加入圣界，夺取神器弑君叛国。,,,
,1198607,,这样的选择真是令人敬佩啊。至于你的诚意，还是让我……,,,
,30204,,（兰奇的加入拉开了阴谋的序章，而此时西蒙经过长途跋涉到达湖<br>    畔镇。未来的事尚不可知，等待他的是新的冒险。）,,,
,1011101,,呼，湖畔镇终于到了。我要抓紧时间，把那些事统统解决！,,,
,1011102,,诺尔大人说他自有安排，可是他也没说到底安排了什么……,,,
,1011402,,喂！不要一言不合就要开打呀！这都是误会啊！你听我解释……,,,
,1011501,,温丽姐姐，你们别打了！西蒙哥哥不是坏人。,,,
,1011503,,不是的，我只是被怪物吓哭了。是西蒙哥哥把怪物打跑了。<br>对吧，米修？,,,
,1011506,,喂喂，这位温丽大小姐！你以为这样随便解释就可以了吗？,,,
,1011509,,哼，本大小姐当然知道！不过嘛，我就不告诉你！,,,
,1011514,,你们要去哪里玩呀？由莉和米修也要一起去！,,,
,1011603,,你们是谁？找我什么事？还有，我叫海莉，不是海蛎，也不是赫丽，更不是海狸！,,,
,1011605,,抱歉抱歉，我们大概找错人了。温丽大小姐，你有什么想说的吗？,,,
,1011606,,哈哈……这只是意外啦。再厉害的人都有出错的时候嘛……,,,
,1011609,,……好好好，是我不好。<br>那么，这位厉害的温丽小姐，我们现在怎么办？,,,
,1011701,,是温丽啊。你后面的是……啊，男孩子！难道你要结婚了吗？是你爷爷特罗德会长让你来找我给你证婚吗？,,,
,1011702,,才不是！桑妮姐姐，你又在乱想什么？他有事想请教你，<br>我只是顺路带他过来。,,,
,1011704,,桑妮祭司，我受帝国右相的委托，来寻找<color=#bd4104>赫丽</color>和<color=#bd4104>卡诺萨之光</color>。<br>请问你有线索吗？,,,
,1011707,,赫丽是谁？我不知道。卡诺萨之光的话，我倒是有印象。,,,
,1011710,,好吧，我曾经在记载罗兰大帝光辉事迹的<color=#bd4104>《罗兰颂歌》</color>中读到过它。,,,
,1011711,,只是我记不清它被放在哪儿了。你们去教堂东边的<color=#bd4104>储物室</color>找找，<br>我把东西都放在那里了。,,,
,1011715,,同伴……谁是你同伴啊！还真会自说自话呢……,,,
,1011718,,先声明，本大小姐只是怕你找不到，好心帮帮你而已！！<br>仅此而已哦！,,,
,1011719,,你们去哪里呀？是要带我去找爸爸妈妈吗？由莉和米修也要一起去！,,,
,1104901,,唔……就是这里了，我们进去吧。,,,
,1012002,,我没事，不过由莉有点不对劲。她明明没有受伤，却一直喊疼，<br>而且她的身体……,,,
,1012003,,呜呜呜……好熟悉的感觉，好像曾经被什么东西扎穿了身体……<br>好疼啊……西蒙哥哥……,,,
,1012004,,呜呜呜……什么东西……好可怕……胸口好疼啊……<br>爸爸妈妈你们在哪里……,,,
,1012005,,米修，爸爸妈妈不要我了吗？我好害怕……要是妈妈能用鱼骨笛给我吹曲子就好了……,,,
,1012006,,真是的，你怎么没有保护好由莉？走开，我先为她治疗一下！,,,
,1012101,,桑妮姐姐，由莉……由莉的身体变得有些透明！这是怎么回事？,,,
,1012103,,他们一家在国王遇刺的那天，被入侵这儿的魔物谋害了。但他们发现找不到女儿的灵魂了。,,,
,1012104,,他们希望我能帮他们找到迷失的女儿，至少在那个世界<br>能一家团聚……,,,
,1012106,,是的。由莉还不明白死亡是什么。她只是凭着对爸爸妈妈的执念，<br>留在世间。,,,
,1012107,,小由莉记得妈妈经常吹<color=#bd4104>鱼骨笛</color>给她听。只有满足她的这个愿望，执念才会被宽慰。,,,
,1012110,,这件事就包在我的身上了！走吧，温丽。,,,
,1054101,,温丽，你停在这里做什么？哦，我知道了！你是害怕……,,,
,1054102,,当然是要做战前准备啊。你也赶紧提升下自己的实力吧！<br>不然等会你打不过他们，本大小姐可不会救你哦。,,,
,1012301,,桑妮姐姐，我们找到鱼骨笛了……由莉……由莉会高兴的……,,,
,1012503,,走吧，别伤心了……你该替由莉高兴的，她可以和爸爸妈妈团聚了。,,,
,1012504,,我当然知道啊……呜……可是我就是控制不住嘛。,,,
,1012506,,你看，你再这么伤心，米修也要哭了。你忘记我们答应由莉的<br>事情了吗？,,,
,1243901,,噗，阿噗，阿噗噗，噗噗，阿噗。噗噗噗，阿噗，阿噗噗，阿噗。,,,
,1243902,,呃……米修，你在说什么？我没有听懂。桑妮姐姐，你知道米修在说什么吗？,,,
,1243903,,嗯，它在说……它在说什么，我也不知道。不过我可以告诉你们米修的真实身份。,,,
,1243905,,当然不是。你们听说过本命吗？根据史书记载，本命由众神幻化而成，是拥有神之力量碎片的存在。,,,
,1243906,,而米修便是本命之一，我相信它的力量会在未来的战斗中帮助你们，好好照顾它吧。,,,
,1053201,,善良的孩子，你们做的很好，先回去<color=#bd4104>旅馆</color>休息一下吧。,,,
,1012602,,（经历了刚才的事情，疲惫的温丽很快就睡着了。在熟睡之后，<br>   一股神秘的力量拉扯着她坠入梦境……）,,,
,1043301,,身体动不了了……这种感觉……难道我又开始做预言梦了吗？,,,
,1043302,,我为什么会在这里？会梦到什么，会在什么时候梦到……可恶……为什么我无法控制这件事……,,,
,1043303,,爷爷……要是特罗德爷爷在就好了……也许他会知道……,,,
,1012704,,（怎么回事？我又做预言梦了？那个怪物真是个可怕的对手，<br>   难道以后……）,,,
,1012705,,（梦里有我，有西蒙，还有那个佩戴手环的大姐头是谁……）,,,
,1012801,,温丽，你还好吧？发生了什么？,,,
,1012803,,嘿！桑妮祭司，请问《罗兰颂歌》的解读完成了吗？,,,
,1012804,,算是完成了，《罗兰颂歌》其实是罗兰家谱，里面记载了<br>罗兰皇室的故事。,,,
,1012805,,但是有一部分关键内容是以密文写成，我无法解读。,,,
,1012811,,（啊啊，怎么会是他呢？未来究竟会发生什么？）,,,
,1012812,,（太令人在意了！不行！我得弄清楚是怎么回事！）,,,
,1012905,,同伴……咳咳，我才不是因为你说了同伴，就和你一起走呢！,,,

