,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,1000501,,卑微的人类，折服于<color=#bd4104>四蹄神</color>的力量吧！吼——！！！<br>乖乖把你们的血肉献给伟大的<color=#bd4104>四蹄神</color>！吼——！！！,,,
,1000502,,呜呜……好，好可怕……感觉发生过很可怕的事……<br>西蒙哥哥……我……我为什么这么害怕……,,,
,1000503,,雷克兽？它们不是只在无人的山林里活动吗？！<br>由莉，米修，到我身后！不要出来！,正好用它的鹿角来练剑！,,
,1000601,,西蒙哥哥好厉害呀！而且，还这么勇敢！,,,
,1000602,,噗……啊噗噗噗！噗！<br>（翻译：呼……差点变成雷克兽的晚饭了！）,,,
,1000603,,（这个叫米修的小家伙看起来很高兴……<br>趁这个机会摸它一下，应该没事……吧？）,,,
,1000604,,噗嗷嗷嗷~！嗷嗷嗷！<br>（米修在西蒙的手上狠狠地咬了一口！）,,,
,1000605,,哇！居然会咬人！<br>好<size=120%>痛<size=140%>痛<size=160%>痛<size=180%>痛！！！,,,
,1000606,,身为剑士，你居然欺负这么小的女孩子！<br>温丽我啊，最受不了这种男生了！,,,
,1000607,,哼哼，遇到我就算是你的末日了。<br>本大小姐是专门帮女孩子教训你这种坏男生的,,,
,1000608,,<size=180%><color=#bd4104>正！义！使！者！</color>,,,
,1000609,,等……等等！这位正义使者温丽大小姐！<br>你是不是搞错了什么啊？我才是那个受害者啊！,,,
,1000610,,怎么可能？米修可是由莉的忠诚小卫士。<br>谁欺负由莉，米修就跟谁作对！我刚才都看见了！,,,
,1000611,,这位温丽大小姐，我真的没有欺负她！<br>哎哎哎，我们再谈谈，别，别动手啊……,让这小姐见识下剑士的厉害！,,
,1000701,,西蒙哥哥，温丽姐姐，你们别打了！<br>西蒙哥哥没有欺负我，他刚才从雷克兽手里保护了我们！,,,
,1000702,,因为他突然摸了米修的肚子，受到惊吓的米修才咬他的。<br>米修的肚子是很敏感的，不能随便摸。,,,
,1000703,,哎？什，什么？原来是这样？<br>由莉妹妹，你早点说啊……,,,
,1000704,,唉，温丽大小姐啊，刚才我说你搞错的时候，<br>你完全没有给我解释的时间嘛……,,,
,1000705,,啊，啊哈哈……<br>就，就当这法杖刚才失灵了吧……,,,
