,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,697701,,大姐头，今晚又有这么多吃瓜群众来凑热闹，怪盗伪装混在他们<br>其中，一点线索都没有。,,,
,697704,,（经验丰富的赏金猎人提示：禁卫军备箱中放着的伪装药剂和掩护<br>    斗篷，可以躲避巡逻。）,,,
,697901,,这么精彩的怪盗故事，写进小说里一定能大卖！今晚，我一定要全程记录，每一个细节都不放过！,,,
,697902,,卡诺萨正在戒严，你一出去就会被禁卫军给抓住吧。如果不能自由走动，你怎么全程记录？,,,
,697903,,嘘！我自有办法！这城里的密道我一清二楚！自由走动对我来说根本不是什么难事。,能随意走动的，只有怪盗了吧！,加油！,
,698001,,走开走开，你们挡着我的最佳观赏角度了。要知道，每次禁卫军和怪盗的追逐，都是一场好戏。,,,
,698002,,卡诺萨戒严期间，你居然还敢偷偷溜进来吃瓜……太不合常理了<br>吧？！,我怀疑你是怪盗！,四处看看有没有更可疑的人。,
,698101,,冒险了这么久，还是第一次碰到这么大的场面。期待地搓搓手！,,,
,698103,,怕什么！大不了再混进来就好了！我跟你说，这里禁卫军看起来多，溜进来可容易了！,,,
,698201,,只要能抓到怪盗尤妮娅，这个月的生活费就有指望了！,,,
,698202,,虽然尤妮娅的赏金很可观，可你作为一个赏金猎人，也不至于沦落到单靠这个赏金过活吧？,,,
,698203,,我……我只是比较懒！我就想一个月只干一单，干一单吃一年，不行吗？！,,,
,698204,,这么心虚，你是不是压根就不了解赏金猎人怎么赚钱的啊？,我严重怀疑，你就是怪盗！,算了，说不定他就是懒。,
,698301,,都怪这怪盗，我只能早早收摊，损失惨重！我一定要亲眼看到禁卫军抓住怪盗，才能解气！,,,
,698303,,谁说的！万一怪盗出现了，我可以帮禁卫军们拦住她！这种大坏蛋，别想逃出卡诺萨！,,,
,698304,,（一个街头艺人，会仅仅因为生意被破坏，就这么激动？……啧）,我说，你就是那怪盗吧！,当然，也可能就是个热血少年。,
,698501,,啊啊啊啊啊！！怪盗尤妮娅来了！我在空气中闻到了她的味道！！！不行了，我要晕倒了！！,,,
,698601,,前段时间，怪盗尤妮娅偷走了我兄弟家的大钻石！我要亲手抓住她，为我兄弟报仇！,,,
,698801,,今晚可真够热闹的！没想到我们这种普通人，有生之年还能见到这种大场面！,,,
,698901,,戒严了你们不也偷偷摸摸溜进来了？莫名其妙！你们这种人，在我书里最多只能活1秒！,,,
,699001,,？？？我怀疑你这里有点问题。冲锋在最前线吃的第一手瓜，才有意义你懂吗！,,,
,699101,,怪盗？！你们看到了？在哪里，在哪里！快让我开开眼！,,,
,699102,,爱琳娜姐姐，这人好像亢奋过头了……我们还是离他远点吧。别被禁卫军注意到了。,,,
,699201,,爱琳娜，你抓怪盗抓久了怎么变得疑神疑鬼了？看，这是赏金猎人的标志，你认得吧。,,,
,699202,,天色太暗，没注意到。对了，纠正你一下，这不叫疑神疑鬼，这叫宁可错认，不可放过。,,,
,699301,,呸！你侮辱谁呢！我凭自己手艺吃饭！就算是饿死，也绝不会干这种偷偷摸摸，违背良心的事！,,,
,699401,,结，结巴犯法吗?哪，哪一条法律规定，结巴就是怪盗！你，你们这是歧视！,,,
,699501,,我也希望我是，可是我不是！尤妮娅太优秀了，我只要能远远看她一眼就够了！,,,
