,id,dialog
备注,NPC对话配置的id,对话文字
,10285,那些被拖走的人的哀嚎，还在我耳边回响。我要战斗，为了自己！
,10286,做一个像影子那样的人，就不会被带走了吧？
,10287,我只是想活下来，有什么错？！
,10288,错的不是我，我只是与他们理念不同！从此以后，我要和那位大人一起创建新世界！
,10289,我尽心尽力地为尊贵的人做事，最后竟然沦落到这样的下场！
,10290,我爱财，更爱自己的性命！可不愿意得到像右相那种可悲的下场。
,10291,别……别带走我……我不要下去！
,10292,你觉得这里只是普通的监狱？天真！
,10293,那些被提审的人，早已变成实验品了！
,10294,他们口中的谣言，才是真相！
,10295,与其坐在这里等着被带走，还不如展开反抗。
,10296,即使是让我变成实验品，女巫大人也不能有事！
,10297,等那位大人兑现承诺后，我要出去建立我的组织！
,10298,犯人有去无回，沦为实验品！<br>犯人有去无回，沦为实验品！
,10299,论起肮脏的手段，人类可比魔族可怕多了！
,10300,必须出去！家人的仇，必须要报！哪怕与恶魔做了交易。
,10301,奇怪，老大怎么不在这里？
,10302,什么情况？目标不在，老子任务完成不了了。
,10303,按照指示，要在这里与莱克大人交换身份……他怎么不见了？
,10304,凭我的智慧，自然要选择最有利的一方合作。
,10305,身体检查……不，不能再往下！我不想死！！
,10306,你们有听到吗？听到机器钻进骨头的声音……啊，不！！！
,10307,年轻的军官，早就被拖走了。
,10308,啊？他不是去……哦，我什么都没有说。
,10309,从这里离开的人，没有人再回来过。我的选择是对的！
,10310,实验吗？用自己完成一项伟大实验，似乎也不错，哈哈哈！
,10311,被打上标记了，完蛋了！完蛋了！
,10312,那些研究员身上的标志……原来是大家族的爪牙！
,10313,该死，97号实验品被带走了，下一个就是我了吗？
,10314,看清楚了！这里不是监狱，是大型的实验场！
,10315,别动我的羽毛！恶魔……研究员……
,10316,不，再也受不了了……放开我！吼——
,10317,身体变得好奇怪……血液仿佛要烧掉我的皮肤！
,10318,再过几个小时，研究员就要来了。躲不过了吗？
,10319,这里是没有明天的恶魔岛！我要出去，他还在等我……
