,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1286801,12868,1,102,102,0,-1,0,-1,0,0,1
,1286802,12868,2,301,102,0,-1,0,301,100308,0,1
,1286803,12868,3,201,102,0,-1,0,201,0,0,1
,1286804,12868,4,102,102,0,-1,0,201,0,0,1
,1286805,12868,5,101,102,0,-1,0,101,100115,0,1
,1286806,12868,6,-1,-1,0,-1,0,-1,0,0,1
,1286807,12868,7,102,102,0,-1,0,-1,0,0,1
,1286808,12868,8,301,102,0,-1,0,301,100303,0,1
,1286901,12869,1,-1,-1,0,-1,0,-1,0,0,1
,1287001,12870,1,201,-1,0,-1,0,201,100204,0,1
,1287002,12870,2,3028,3028,0,-1,0,201,100204,0,1
,1287003,12870,3,201,3028,0,-1,0,201,100205,0,1
,1287004,12870,4,201,3028,0,-1,0,201,100205,0,1
,1287005,12870,5,3028,3028,0,-1,0,201,100205,0,1
,1287006,12870,6,201,3028,0,-1,0,201,100205,0,1
,1287007,12870,7,3028,3028,0,-1,0,201,100205,0,1
,1287008,12870,8,301,3028,0,-1,0,301,100308,0,1
,1287009,12870,9,201,3028,0,-1,0,201,0,0,1
,1287010,12870,10,3028,3028,0,-1,0,201,0,0,1
,1287011,12870,11,301,3028,0,-1,0,301,100306,0,1
,1287012,12870,12,3028,3028,0,-1,0,301,100306,0,1
