,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,1286801,,原来体验员是你们啊，那我倒是放心多了。<br>以你们的实力，不至于被城内的魔族伤到。,,,
,1286802,,当然，那些手下败将只有被我打的份！,,,
,1286803,,爱琳娜姐姐，议会里的魔法师都很恶趣味的，说不定会调高<br>他们攻击力，还是小心些，比较好。,,,
,1286804,,嗯，这个试炼不仅测试个人实力，也需要团队的配合。<br>到时候，大家务必要相互配合。好了，我们出发吧。,,,
,1286805,,泰雷，我们不会是要坐船去吧？<br>呃……呕……我感觉……不太好……,,,
,1286806,,（爱琳娜一个手刀，阻止了西蒙之后想说的话。）,,,
,1286807,,这……是不是太粗暴了？,,,
,1286808,,这叫一劳永逸，懂？,,,
,1286901,,,,,
,1287001,,爷爷，黯月城的设计创意太棒了！不仅有虚拟出的魔物，<br>城内还使用空间魔法维持能量守恒。,,,
,1287002,,喔——噜噜噜~我的小温丽，你怎么这么聪明？说得完全<br>正确，不愧是我们芙蕾雅家族杰出的魔法师！,,,
,1287003,,爷爷！我还没有说完，我们还遇到一件奇怪的事，<br>似乎有人在跟踪窥视我们。,,,
,1287004,,从身形来看，她应该是个人类女生。可是体验者不是只有<br>我们吗？她为什么会在哪里？难道是想做些什么……,,,
,1287005,,跟踪？！我的小温丽，你有没有事？是不是吓到了？<br>来，爷爷给你爱的抱抱。,,,
,1287006,,爷爷，我哪有这么脆弱！我是在担心那个女生的事。,,,
,1287007,,没什么值得担心的，爷爷会处理好的。现在的话，<br>你们说说体验感受，有哪里要调整吗？,,,
,1287008,,其他的都挺好，只是那个广播太吵了，<br>吵得我想打人，不考虑换掉吗？,,,
,1287009,,爱琳娜姐姐，它也没有那么烦啦，还挺可爱的啊。,,,
,1287010,,嗯嗯，我的宝贝孙女说得对。这个广播可是黯月城的灵魂<br>啊，聊天解闷的好对象。你这个年轻人，一点都不懂潮流。,,,
,1287011,,（看在你是温丽爷爷的份上……）<br>呵呵，你开心就好。,,,
,1287012,,喔——噜噜噜~既然没有什么问题，那黯月城可以开放了。<br>以后你们无聊的时候，也可以去玩一玩。,,,
,1296301,,就是这里了，大家都准备好了吗？,马上开始试炼吧！,休息下，再开始试炼。,
