,required,required,required,required
,uint32,uint32,uint32,uint32
,id,approach_skip,data1,data2
备注,来源id,跳转的界面功能id,数据1,数据2
,5,1610,0,0
,6,1660,0,0
,7,1650,0,0
,8,422,0,0
,9,0,0,0
,10,421,0,0
,11,423,0,0
,12,1800,0,0
,13,1000,0,0
,14,2500,0,0
,15,2500,0,0
,16,1500,0,0
,17,1500,0,0
,18,1500,0,0
,19,710,0,0
,20,720,0,0
,21,1311,0,0
,22,1310,0,0
,23,2900,0,0
,24,1100,0,0
,25,0,0,0
,26,0,0,0
,27,1300,0,0
,28,0,0,0
,29,0,0,0
,30,0,0,0
,31,1400,0,0
,32,208,0,0
,33,2500,0,0
,34,0,0,0
,35,3100,0,0
,36,3000,0,0
,37,0,0,0
,38,2600,0,0
,39,1200,0,0
,40,2400,0,0
,41,2300,0,0
,42,2010,0,0
,43,0,0,0
,44,0,0,0
,45,0,0,0
,46,0,0,0
,47,2200,0,0
,48,2200,0,0
,49,2200,0,0
,50,2200,0,0
,51,2200,0,0
,52,2200,0,0
,53,2200,0,0
,54,2200,0,0
,55,2200,0,0
,56,2200,0,0
,57,2200,0,0
,58,2200,0,0
,59,2200,0,0
,60,2200,0,0
,61,2200,0,0
,62,2200,0,0
,63,2200,0,0
