,required,required,required,required,repeated,repeated,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,string,string,string,string
,id,hard,clew,boss_id,status1,status2,site1,site2,site3,site4
备注,副本id,副本难度,线索标记,怪物id,特性组1, 特性组2,小怪3个坐标,小怪3个坐标,小怪3个坐标,小怪3个坐标
,3096,0,1,200463,1604;1621,1607;1618,"-237.92,-21.17,1.08;-240.23,-21.17,4.81;-235.83,-21.17,4.89","-229.94,-21.17,0.98;-232.17,-21.17,4.84;-227.78,-21.17,4.8","-239.89,-21.14,44.6;-242.31,-21.14,48.36;-237.86,-21.14,48.29","-231.24,-21.14,44.49;-233.43,-21.14,48.31;-229.14,-21.14,48.44"
,3098,0,0,200783,1628;1605,1637;1631,"-237.92,-21.17,1.08;-240.23,-21.17,4.81;-235.83,-21.17,4.89","-229.94,-21.17,0.98;-232.17,-21.17,4.84;-227.78,-21.17,4.8","-239.89,-21.14,44.6;-242.31,-21.14,48.36;-237.86,-21.14,48.29","-231.24,-21.14,44.49;-233.43,-21.14,48.31;-229.14,-21.14,48.44"
,3103,0,0,200513,1011;1021,1031;1041,"-237.92,-21.17,1.08;-240.23,-21.17,4.81;-235.83,-21.17,4.89","-229.94,-21.17,0.98;-232.17,-21.17,4.84;-227.78,-21.17,4.8","-239.89,-21.14,44.6;-242.31,-21.14,48.36;-237.86,-21.14,48.29","-231.24,-21.14,44.49;-233.43,-21.14,48.31;-229.14,-21.14,48.44"
,3104,1,0,200523,1011;1021,1031;1041,"22.46,1.64,-15.49;26.95,1.64,-18.06;26.64,1.64,-13.28","15.24,1.64,-21.82;19.40,1.64,-24.35;15.78,1.64,-26.79","2.06,0.07,13.59;1.90,0.07,8.58;-2.31,0.07,11.35","-3.18,0.07,-3.56;0.70,0.07,-5.00;-2.78,0.07,-7.89"
,3106,0,0,200528,1011;1021,1041;1031,"-237.92,-21.17,1.08;-240.23,-21.17,4.81;-235.83,-21.17,4.89","-229.94,-21.17,0.98;-232.17,-21.17,4.84;-227.78,-21.17,4.8","-239.89,-21.14,44.6;-242.31,-21.14,48.36;-237.86,-21.14,48.29","-231.24,-21.14,44.49;-233.43,-21.14,48.31;-229.14,-21.14,48.44"
,3107,1,0,200533,1011;1021,1031;1041,"-237.92,-21.17,1.08;-240.23,-21.17,4.81;-235.83,-21.17,4.89","-229.94,-21.17,0.98;-232.17,-21.17,4.84;-227.78,-21.17,4.8","-239.89,-21.14,44.6;-242.31,-21.14,48.36;-237.86,-21.14,48.29","-231.24,-21.14,44.49;-233.43,-21.14,48.31;-229.14,-21.14,48.44"
,3108,0,0,200538,1011;1021,1031;1041,"-12.22,0.096,9.03;-15.88,0.096,11.2;-15.92,0.096,6.63","-10.14,0.096,12;-6.15,0.096,14.18;-10.21,0.096,16.38","-34.24,0.096,26.29;-38,0.096,28.24;-38.19,0.096,24.03","-27.37,0.096,31.45;-27.15,0.096,35.72;-31.18,0.096,33.51"
,3111,0,0,200553,1637;1606,1626;1618,"-237.92,-21.17,1.08;-240.23,-21.17,4.81;-235.83,-21.17,4.89","-229.94,-21.17,0.98;-232.17,-21.17,4.84;-227.78,-21.17,4.8","-239.89,-21.14,44.6;-242.31,-21.14,48.36;-237.86,-21.14,48.29","-231.24,-21.14,44.49;-233.43,-21.14,48.31;-229.14,-21.14,48.44"
,3114,1,0,200568,1011;1021,1031;1041,"-237.92,-21.17,1.08;-240.23,-21.17,4.81;-235.83,-21.17,4.89","-229.94,-21.17,0.98;-232.17,-21.17,4.84;-227.78,-21.17,4.8","-239.89,-21.14,44.6;-242.31,-21.14,48.36;-237.86,-21.14,48.29","-231.24,-21.14,44.49;-233.43,-21.14,48.31;-229.14,-21.14,48.44"
,3116,0,0,200578,1011;1021,1031;1041,"22.46,1.64,-15.49;26.95,1.64,-18.06;26.64,1.64,-13.28","15.24,1.64,-21.82;19.40,1.64,-24.35;15.78,1.64,-26.79","2.06,0.07,13.59;1.90,0.07,8.58;-2.31,0.07,11.35","-3.18,0.07,-3.56;0.70,0.07,-5.00;-2.78,0.07,-7.89"
