,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,505801,5058,1,3010,3010,135013,-1,0,-1,0,11464,1
,505802,5058,2,101,3010,135013,-1,0,101,100102,11922,1
,505803,5058,3,3010,3010,0,-1,0,101,100102,11465,1
,505804,5058,4,3010,3010,135013,-1,0,101,100102,11466,1
,505805,5058,5,3010,3010,135013,-1,0,101,100102,12757,1
,505901,5059,1,101,101,105002,-1,0,-1,0,11287,1
,505902,5059,2,301,101,105002,-1,0,301,100308,11288,1
,505903,5059,3,3011,3011,0,-1,0,301,100308,11787,1
