,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,string,string,uint32,uint32,uint32,uint32,uint32
,id,name,sort,time_type,time_min,time_max,amount_limit,flag,price,awardid,actionid
备注,物品id,名称,物品类型,时间类型,时间上限,时间下限,叠加上限,物品flag,售出金币,奖励id,Action id
,5001012,初级狂暴,5,0,,,9999,8,1000,0,0
,5001022,初级狂暴,5,0,,,9999,8,3000,0,0
,5001032,初级狂暴,5,0,,,9999,8,9000,0,0
,5001042,初级狂暴,5,0,,,9999,8,27000,0,0
,5001052,初级狂暴,5,0,,,9999,8,81000,0,0
,5002012,初级神力,5,0,,,9999,8,1000,0,0
,5002022,初级神力,5,0,,,9999,8,3000,0,0
,5002032,初级神力,5,0,,,9999,8,9000,0,0
,5002042,初级神力,5,0,,,9999,8,27000,0,0
,5002052,初级神力,5,0,,,9999,8,81000,0,0
,5003012,初级魔能,5,0,,,9999,8,1000,0,0
,5003022,初级魔能,5,0,,,9999,8,3000,0,0
,5003032,初级魔能,5,0,,,9999,8,9000,0,0
,5003042,初级魔能,5,0,,,9999,8,27000,0,0
,5003052,初级魔能,5,0,,,9999,8,81000,0,0
,5004012,生命护盾,5,0,,,9999,8,1000,0,0
,5004022,生命护盾,5,0,,,9999,8,3000,0,0
,5004032,生命护盾,5,0,,,9999,8,9000,0,0
,5004042,生命护盾,5,0,,,9999,8,27000,0,0
,5004052,生命护盾,5,0,,,9999,8,81000,0,0
,5005012,初级护盾,5,0,,,9999,8,1000,0,0
,5005022,初级护盾,5,0,,,9999,8,3000,0,0
,5005032,初级护盾,5,0,,,9999,8,9000,0,0
,5005042,初级护盾,5,0,,,9999,8,27000,0,0
,5005052,初级护盾,5,0,,,9999,8,81000,0,0
,5006012,初级生命流转,5,0,,,9999,8,1000,0,0
,5006022,初级生命流转,5,0,,,9999,8,3000,0,0
,5006032,初级生命流转,5,0,,,9999,8,9000,0,0
,5006042,初级生命流转,5,0,,,9999,8,27000,0,0
,5006052,初级生命流转,5,0,,,9999,8,81000,0,0
,5007012,初级绝境爆发,5,0,,,9999,8,1000,0,0
,5007022,初级绝境爆发,5,0,,,9999,8,3000,0,0
,5007032,初级绝境爆发,5,0,,,9999,8,9000,0,0
,5007042,初级绝境爆发,5,0,,,9999,8,27000,0,0
,5007052,初级绝境爆发,5,0,,,9999,8,81000,0,0
,5008012,初级绝境回生,5,0,,,9999,8,1000,0,0
,5008022,初级绝境回生,5,0,,,9999,8,3000,0,0
,5008032,初级绝境回生,5,0,,,9999,8,9000,0,0
,5008042,初级绝境回生,5,0,,,9999,8,27000,0,0
,5008052,初级绝境回生,5,0,,,9999,8,81000,0,0
,5009012,初级绝境护盾,5,0,,,9999,8,1000,0,0
,5009022,初级绝境护盾,5,0,,,9999,8,3000,0,0
,5009032,初级绝境护盾,5,0,,,9999,8,9000,0,0
,5009042,初级绝境护盾,5,0,,,9999,8,27000,0,0
,5009052,初级绝境护盾,5,0,,,9999,8,81000,0,0
,5010012,神力增幅,5,0,,,9999,8,1000,0,0
,5010022,神力增幅,5,0,,,9999,8,3000,0,0
,5010032,神力增幅,5,0,,,9999,8,9000,0,0
,5010042,神力增幅,5,0,,,9999,8,27000,0,0
,5010052,神力增幅,5,0,,,9999,8,81000,0,0
,5011012,魔能增幅,5,0,,,9999,8,1000,0,0
,5011022,魔能增幅,5,0,,,9999,8,3000,0,0
,5011032,魔能增幅,5,0,,,9999,8,9000,0,0
,5011042,魔能增幅,5,0,,,9999,8,27000,0,0
,5011052,魔能增幅,5,0,,,9999,8,81000,0,0
,5012012,强袭,5,0,,,9999,8,1000,0,0
,5012022,强袭,5,0,,,9999,8,3000,0,0
,5012032,强袭,5,0,,,9999,8,9000,0,0
,5012042,强袭,5,0,,,9999,8,27000,0,0
,5012052,强袭,5,0,,,9999,8,81000,0,0
,5021013,中级狂暴,5,0,,,9999,8,2000,0,0
,5021023,中级狂暴,5,0,,,9999,8,6000,0,0
,5021033,中级狂暴,5,0,,,9999,8,18000,0,0
