,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1333901,13339,1,-1,-1,0,-1,0,-1,0,0,1
,1333902,13339,2,3438,-1,0,-1,0,3438,0,0,1
,1333903,13339,3,103,103,0,-1,0,3438,0,0,1
,1333904,13339,4,3438,103,0,-1,0,3438,0,0,1
,1333905,13339,5,103,103,0,-1,0,3438,0,0,1
,1333906,13339,6,3438,103,0,-1,0,3438,0,0,1
,1333907,13339,7,3438,103,0,-1,0,3438,0,0,1
,1333908,13339,8,-1,-1,0,-1,0,-1,0,0,1
,1333909,13339,9,3438,-1,0,-1,0,3438,0,0,1
,1333910,13339,10,-1,-1,0,-1,0,-1,0,0,1
,1333911,13339,11,-1,-1,0,-1,0,-1,0,0,1
,1333912,13339,12,103,103,101900,-1,0,-1,0,0,1
,1333913,13339,13,101,103,101900,-1,0,101,100104,0,1
,1333914,13339,14,103,103,101900,-1,0,101,100104,0,1
,1333915,13339,15,101,103,101900,-1,0,101,100104,0,1
,1333916,13339,16,101,103,101900,-1,0,101,100104,0,1
,1333917,13339,17,103,103,101900,-1,0,101,100104,0,1
,1333918,13339,18,-1,-1,0,-1,0,-1,0,0,1
,1333919,13339,19,101,101,101400,-1,0,102,112001,0,1
,1333920,13339,20,102,101,158001,-1,0,102,100800,0,1
,1333921,13339,21,101,101,107001,-1,0,102,121001,0,1
,1333922,13339,22,102,101,156001,-1,0,102,199001,0,1
,1333923,13339,23,101,-1,0,-1,0,101,100104,0,1
,1333924,13339,24,103,103,101900,-1,0,101,100104,0,1
,1333925,13339,25,101,103,101900,-1,0,101,100106,0,1
,1333926,13339,26,103,103,101900,-1,0,101,100106,0,1
,1333927,13339,27,-1,-1,0,-1,0,-1,0,0,1
,1333928,13339,28,101,103,0,-1,0,101,100115,0,1
,1333929,13339,29,103,103,0,-1,0,101,100115,0,1
,1333930,13339,30,101,103,0,-1,0,101,100115,0,1
,1333931,13339,31,103,103,0,-1,0,101,100108,0,1
,1333932,13339,32,-1,-1,0,-1,0,-1,0,0,1
,1333933,13339,33,101,-1,0,-1,0,101,0,0,1
,1333934,13339,34,-1,-1,0,-1,0,-1,0,0,1
,1333935,13339,35,3438,3438,0,-1,0,401,0,0,1
,1333936,13339,36,3438,3438,0,-1,0,401,0,0,1
,1333937,13339,37,401,103,0,-1,0,401,0,0,1
,1333938,13339,38,103,103,0,-1,0,401,0,0,1
,1333939,13339,39,401,103,0,-1,0,401,0,0,1
,1333940,13339,40,103,103,0,-1,0,401,0,0,1
,1333941,13339,41,401,103,0,-1,0,401,0,0,1
,1333942,13339,42,103,103,0,-1,0,-1,0,0,1
