,id,Name,Intention,talks,detailDes
备注,任务id,任务标题,任务目标,护送Npc喊话组(以$$分隔),详细描述（佣兵任务等）
,10002,皇室遗珠,进入<color=#00FF0C>首相府邸</color>,,
,10003,湖畔之行,前往<color=#00FF0C>湖畔镇</color>,,
,10004,湖畔危机,前去打听消息,,
,10005,我认识你,前去打听消息,,
,10006,解救米修,快点追上<color=#00FF0C>鹿角兽</color>,,
,10007,生命的出路,前往<color=#00FF0C>教堂</color>,,
,10008,冤家路窄,排除<color=#00FF0C>帝国之剑</color>干扰,,
,10009,阿噗的秘密,找<color=#00FF0C>米修</color>询问解决之道,,
,10010,前往湖畔镇南方,寻找<color=#00FF0C>鹿舌草</color>,,
,10011,回到湖畔镇,去<color=#00FF0C>教堂</color>找桑尼修女,,
,10012,休息一下,去<color=#00FF0C>旅馆</color>暂歇,,
,10013,鹿角兽巢穴,<color=#00FF0C>鹿角兽</color>的阴谋,,
,10014,回到旅馆,特殊的能力,,
,10015,吃货之路,前往<color=#00FF0C>海滩</color>,,
,10016,罗兰之行,前往<color=#00FF0C>罗兰镇</color>,,
,10040,有苦衷的拦路抢劫,打败劫匪,,
,10041,有苦衷的拦路抢劫,抢劫的背后,,
,10042,仗势欺人,赶走欺负居民的士兵,,
,10043,风车失窃,了解风车镇发生的事,,
,10044,查找线索,询问失忆男孩安可,,
,10045,寻找画本,寻找安可丢失的画本,,
,10046,寻找画本,找到安可的画本,,
,10047,灵魂画风,探索可疑画作真相,,
,10048,发疯的拦路者,前往哥布林巢穴,,
,10049,残忍的神秘人,了解神秘人的情况,,
,10050,迎难而上,阻止该隐拿到魔力石,,
,10051,危机过后,关于兰奇的只言片语,,
,10052,危机过后,了解来龙去脉,,
,10053,真假魔力石,返回风车镇,,
,10054,魔力矿洞,采集魔力矿石,,
,10055,再跑一趟,采集桨叶制作材料,,
,10056,再跑一趟,桨叶采集[count 1],,
,10057,再跑一趟,魔法能量，注入！,,
,10058,旋转的风车,安装桨叶和魔力石,,
,10059,我的英雄,离开风车镇,,
