,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,1333901,,,,,
,1333902,,兰奇·奥兹，我查阅过不少医学点典籍，却完全没有涉及奥兹家族成员的能力与身体研究。或许你能满足一下我对科学的追求？,,,
,1333903,,无聊，让开。,,,
,1333904,,拒绝配合吗？果然像夜崎隐说的那样，还是换一个人来采集试验数据比较适合，例如西蒙·奥兹。,,,
,1333905,,呵，就凭你？,,,
,1333906,,果然是这样的反应。根据平时的观察，凡是涉及西蒙·奥兹的事情，你总会比平时的行动稍稍偏激一点。,,,
,1333907,,好了，拖时间的废话就说到这里。测试已经开始了。,,,
,1333908,,<align="center">（兰奇感觉不对劲，但已因身中剧毒跪倒在地。）</align>,,,
,1333909,,不提前注射解毒剂的情况下，竟然能在毒气里维持这么久意识……真是绝佳的实验品。,,,
,1333910,,,,,
,1333911,,唔！这里是……？,,,
,1333912,,<align="center">（兰奇醒了过来。）</align>,,,
,1333913,,哥哥！太好了，你终于醒来了！你昏迷了这么久，我们可担心你了。,,,
,1333914,,西蒙？你怎么……,,,
,1333915,,哥哥，我们都知道了，你出色地完成了帝国的任务。如果没有你，帝国差点就灭亡了！,,,
,1333916,,你是帝国的英雄，不愧是我最崇拜的哥哥！嘉奖典礼就要开始了，父亲也专程从边境回来了，我们快去王宫吧！,,,
,1333917,,父亲？这是……怎么回事……,,,
,1333918,,,,,
,1333919,欢呼的民众,看！是兰奇！是拯救了帝国的英雄！,,,
,1333920,感动的民众,我就知道兰奇不会背叛帝国！我的信赖是值得的！,,,
,1333921,欢呼的民众,兰奇，你不愧是帝国的第一剑士！,,,
,1333922,感动的民众,兰奇！我们崇拜你！,,,
,1333923,,哥哥真的好厉害。帝国第一剑士的称号，果然只有哥哥配得上。,,,
,1333924,,<align="center">（兰奇看着嘈杂的人群，停下了脚步。）</align>,,,
,1333925,,哥哥？怎么了？我们还得赶紧去王宫呢，赫丽女王和父亲已经在那里等很久了。,,,

