,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask,countdown_show
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型,倒计时限时
,20311,0,5,0,200105,1,3,1 2001 21173,1,,2,0,0,0,101,1 1 2001 21173,0,202,0
,20312,0,5,0,200105,2,3,1 2001 21173,1,,2,0,0,0,201,1 1 2001 21173,0,202,0
,20313,0,5,0,200105,3,3,1 2001 21173,1,,2,0,0,0,301,1 1 2001 21173,0,202,0
,20314,0,5,0,200105,4,3,1 2001 21173,1,,2,0,0,0,401,1 1 2001 21173,0,202,0
,20315,0,5,0,200105,5,3,1 2001 21173,1,,2,0,0,0,501,1 1 2001 21173,0,202,0
,20316,0,5,0,200105,1,3,1 2001 21174,1,,2,0,0,0,102,1 1 2001 21174,0,202,0
,20317,0,5,0,200105,2,3,1 2001 21174,1,,2,0,0,0,202,1 1 2001 21174,0,202,0
,20318,0,5,0,200105,3,3,1 2001 21174,1,,2,0,0,0,302,1 1 2001 21174,0,202,0
,20319,0,5,0,200105,4,3,1 2001 21174,1,,2,0,0,0,402,1 1 2001 21174,0,202,0
,20320,0,5,0,200105,5,3,1 2001 21174,1,,2,0,0,0,502,1 1 2001 21174,0,202,0
,20431,0,5,0,200105,1,3,1 2001 21175,1,,2,0,0,0,106,1 1 2001 21175,0,203,0
,20432,0,5,0,200105,2,3,1 2001 21175,1,,2,0,0,0,206,1 1 2001 21175,0,203,0
,20433,0,5,0,200105,3,3,1 2001 21175,1,,2,0,0,0,306,1 1 2001 21175,0,203,0
,20434,0,5,0,200105,4,3,1 2001 21175,1,,2,0,0,0,406,1 1 2001 21175,0,203,0
,20435,0,5,0,200105,5,3,1 2001 21175,1,,2,0,0,0,506,1 1 2001 21175,0,203,0
