,id,Name,Intention,talks,detailDes
备注,任务id,任务标题,任务目标,护送Npc喊话组(以$$分隔),详细描述（佣兵任务等）
,20431,紧急追缉,异变者法师[count 1],,阻止异变者，刻不容缓！
,20432,紧急追缉,异变者法师[count 1],,阻止异变者，刻不容缓！
,20433,紧急追缉,异变者法师[count 1],,阻止异变者，刻不容缓！
,20434,紧急追缉,异变者法师[count 1],,阻止异变者，刻不容缓！
,20435,紧急追缉,异变者法师[count 1],,阻止异变者，刻不容缓！
,20296,魔族的阴谋,战胜狼人基德[count 1],,狼人为何袭击边境守军，潜入帝国？
,20297,魔族的阴谋,战胜狼人基德[count 1],,狼人为何袭击边境守军，潜入帝国？
,20298,魔族的阴谋,战胜狼人基德[count 1],,狼人为何袭击边境守军，潜入帝国？
,20299,魔族的阴谋,战胜狼人基德[count 1],,狼人为何袭击边境守军，潜入帝国？
,20300,魔族的阴谋,战胜狼人基德[count 1],,狼人为何袭击边境守军，潜入帝国？
,20306,驱逐战魂,战魂之灵[count 1],,去讨伐自哀嚎神殿逃出的魔物吧！
,20307,驱逐战魂,战魂之灵[count 1],,去讨伐自哀嚎神殿逃出的魔物吧！
,20308,驱逐战魂,战魂之灵[count 1],,去讨伐自哀嚎神殿逃出的魔物吧！
,20309,驱逐战魂,战魂之灵[count 1],,去讨伐自哀嚎神殿逃出的魔物吧！
,20310,驱逐战魂,战魂之灵[count 1],,去讨伐自哀嚎神殿逃出的魔物吧！
,20311,战魂甲片,取得铠甲甲片[count 1],,战魂之殇的甲片，是否会引导研究者找到希望？
,20312,战魂甲片,取得铠甲甲片[count 1],,战魂之殇的甲片，是否会引导研究者找到希望？
,20313,战魂甲片,取得铠甲甲片[count 1],,战魂之殇的甲片，是否会引导研究者找到希望？
,20314,战魂甲片,取得铠甲甲片[count 1],,战魂之殇的甲片，是否会引导研究者找到希望？
,20315,战魂甲片,取得铠甲甲片[count 1],,战魂之殇的甲片，是否会引导研究者找到希望？
,20316,出逃的狮心魔骑,狮心魔骑贝恩[count 1],,狮心魔骑贝恩突破了封印！快战胜它，将其再次封印！
,20317,出逃的狮心魔骑,狮心魔骑贝恩[count 1],,狮心魔骑贝恩突破了封印！快战胜它，将其再次封印！
,20318,出逃的狮心魔骑,狮心魔骑贝恩[count 1],,狮心魔骑贝恩突破了封印！快战胜它，将其再次封印！
,20319,出逃的狮心魔骑,狮心魔骑贝恩[count 1],,狮心魔骑贝恩突破了封印！快战胜它，将其再次封印！
,20320,出逃的狮心魔骑,狮心魔骑贝恩[count 1],,狮心魔骑贝恩突破了封印！快战胜它，将其再次封印！
,20326,哀嚎神殿的历史,拓印石碑,,历史需要不断被发掘，找到记录哀嚎神殿历史的石碑！
,20327,哀嚎神殿的历史,拓印石碑,,历史需要不断被发掘，找到记录哀嚎神殿历史的石碑！
,20328,哀嚎神殿的历史,拓印石碑,,历史需要不断被发掘，找到记录哀嚎神殿历史的石碑！
,20329,哀嚎神殿的历史,拓印石碑,,历史需要不断被发掘，找到记录哀嚎神殿历史的石碑！
,20330,哀嚎神殿的历史,拓印石碑,,历史需要不断被发掘，找到记录哀嚎神殿历史的石碑！
