,required,required,required,required
,uint32,uint32,uint32,uint32
,id,approach_skip,data1,data2
备注,来源id,跳转的界面功能id,数据1,数据2
,500,1300,0,1
,502,1311,0,1
,7001,2201,10039,3038
,7002,2202,10039,3029
,7003,2203,10039,3030
,7004,2204,10039,3139
,7005,2205,10039,3028
,7006,2206,10039,3036
,7007,2207,10039,3026
,7008,2208,10039,3043
,7009,2209,10039,3040
,7010,2210,10039,3039
,7011,2211,10039,3041
,7012,2212,10039,3047
,7013,2213,10039,3048
,7014,2214,10039,3143
,7015,2215,10039,3140
,7016,2216,10039,3142
,7017,2217,10039,3146
,7018,2218,10039,3144
,7019,2219,10039,3145
,7020,2220,10039,3141
,9000,1400,10002,0
,9001,3000,10025,0
,9002,3100,10026,0
,9004,2900,10015,0
