,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,709501,,诸位，纳雅舰队为了进一步完善战舰内白刃战的应对方案，使用全息投影模拟了当时你们攻入黑龙战舰的场景，希望你们能够配合测试。,,,,
,709502,,为了找出最优的应对方案，我们不仅导入了黑龙舰队士兵的数据，还加入了部分魔物的数据，更还原了亚兹莫的数据。,,,,
,709503,,交给我们吧！要想成为帝国第一剑士，就不能在挑战前退缩。,,,,
,709601,亚兹莫·投影,呵，落后于时代的你们，拿什么和我对抗？只有我的选择，才能带领纳雅走向明天！我给你们两个选项，臣服于我，或是葬身于此！,,,,
,709602,,米兰达，你们没必要连亚兹莫的语气和态度都还原吧？看到他这嚣张的态度，就想再往他脸上狠狠来上一拳。,,,,
,709603,,情感表现也是战斗时需要考虑的一部分。你的反应不正是表明了这一点的必要性吗？,,,,
,709604,,确实如此，大姐头，别发火了，我们上！,打,不打,
,709701,,啊？这就倒下了？刚刚不是很嚣张吗？我还没出力呢！,,,,
,709702,,爱琳娜姐姐，没必要对一个投影发火啦……,,,,
,709703,,模拟结束，辛苦了。我们这边也获取了需要的数据，这次就到这里，谢谢你们。,,,,
,710301,,打摩尼耶,打,不打,
,710401,,打亚玻伦,打,不打,
,710501,,打败了摩尼耶，继续前进,,,,
,710601,,无法前行，需打败摩尼耶,,,,
,710701,,打败了亚玻伦，拿宝物,,,,
,710801,,无法拿取，需打败亚玻伦,,,,
,710901,,去打亚兹莫吧,,,,
