,required,required,optional,optional,optional,optional,optional,optional,optional,repeated,repeated,optional,repeated,optional,repeated,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,string,uint32,uint32
,id,name,attr_type,type,sex,family,profession,level,attr_id,special_effects,own_skills,skill_que,skill_vis,skill_loop_que,skill_que_vis,action_id
备注,怪物ID,注释,属性适配类型,怪物类型,性别,家族,职业类型,等级,怪物属性ID,特殊效果ID,拥有技能列表,技能序列,技能序列可见性,循环技能序列,循环技能序列可见性,效果ID
,1001673,黑龙战盾,0,0,1,4,1,45,1001673,,5201501;5201502,"0,0,1",0,"0,0,1",0,0
,1001674,黑龙重剑,0,0,1,4,1,45,1001674,,5202001;5202002,"0,0,1,1;0,0",0,"1,0,0,1;0,0,1,1;0,0",0,0
,1001675,摩尼耶,0,2,1,4,1,50,1001675,1011,5201301;5201302;5201303,"1,1,2;0,0,1",0,"0,1,2;0,1,2,2;0,0,1;0,0,1",0,0
,1001676,深海巨鳍,0,0,1,6,1,45,1001676,,5201801;5201802;5201803,"0,2;2,0,1,0",0,"0,2;2,1,1,1,0;0,0,1",0,0
,1001677,重卫机甲·特一型,0,1,1,4,1,48,1001677,1610,5202301;5202302;5202303,"0,1,0,2;1,0,1",0,"0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1001678,重卫机甲·特二型,0,1,1,4,1,48,1001678,1606,5202401;5202402;5202403,"1,0;0,1,0,2",0,"0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1001679,亚玻伦,0,2,1,6,2,50,1001679,1021,5202201;5202202;5202203;5202204,"0,1,2,3;1,0,2",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1001680,亚兹莫,0,2,2,6,1,50,1001680,1618,900401;900402;900403;900404,"0,1,3;1,0,1,2",0,"0,2,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
