,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,709501,,诸位，这场模拟战，我们使用全息投影重现了黑龙战舰的内部场景。请把这里当成现实，全力以赴吧。,,,,诸位，这场模拟战，我们使用全息投影重现了黑龙战舰的内部场景。请把这里当成现实，全力以赴吧。
,709502,,交给我们！要想成为帝国第一剑士，就不能在挑战前退缩。,,,,交给我们！要想成为帝国第一剑士，就不能在挑战前退缩。
,709601,亚兹莫,呵，落后于时代的你们，拿什么和我对抗？只有我的选择，才能带领纳雅走向明天！我给你们两个选项，臣服于我，或是葬身于此！,,,,呵，落后于时代的你们，拿什么和我对抗？只有我的选择，才能带领纳雅走向明天！我给你们两个选项，臣服于我，或是葬身于此！
,709602,,米兰达，你们没必要连亚兹莫的语气和态度都还原吧？看到他这嚣张的态度，就想再往他脸上狠狠来上一拳。,,,,米兰达，你们没必要连亚兹莫的语气和态度都还原吧？看到他这嚣张的态度，就想再往他脸上狠狠来上一拳。
,709603,,情感表现也是战斗时需要考虑的一部分。你的反应不正是表明了这一点的必要性吗？,,,,情感表现也是战斗时需要考虑的一部分。你的反应不正是表明了这一点的必要性吗？
,709604,,确实如此，大姐头，别发火了，我们上！,束手就擒吧！,不急，计划好再上。,,确实如此，大姐头，别发火了，我们上！
,709701,,啊？这就倒下了？刚刚不是很嚣张吗？我还没出力呢！,,,,啊？这就倒下了？刚刚不是很嚣张吗？我还没出力呢！
,709702,,爱琳娜姐姐，没必要对一个投影发火啦……,,,,爱琳娜姐姐，没必要对一个投影发火啦……
,709703,,训练结束，辛苦了。我们这边也获取了需要的数据，这次就到这里，谢谢你们。,,,,训练结束，辛苦了。我们这边也获取了需要的数据，这次就到这里，谢谢你们。
,710301,,没用的废物，竟然要我亲自出手……噢，亲爱的两位女士，没想到我们竟然还能见面。就让这里成为两位女士的凋零之地吧。,,,,没用的废物，竟然要我亲自出手……噢，亲爱的两位女士，没想到我们竟然还能见面。就让这里成为两位女士的凋零之地吧。
,710302,,……纳雅的投影技术真强大，竟然能把摩尼耶讨人厌的地方完美地还原出来。看来，我们要通过这里，就必须击败摩尼耶的投影。,,,,……纳雅的投影技术真强大，竟然能把摩尼耶讨人厌的地方完美地还原出来。看来，我们要通过这里，就必须击败摩尼耶的投影。
,710401,亚玻伦,哈哈哈哈，全新的导线，新上油的关节，我将发挥120%的实力，将你们这些渺小的人类逐一击败。亚兹莫大人的收藏，绝不会交给任何人！,,,,哈哈哈哈，全新的导线，新上油的关节，我将发挥120%的实力，将你们这些渺小的人类逐一击败。亚兹莫大人的收藏，绝不会交给任何人！
,710402,,亚兹莫的收藏？这可就不能置之不理了！,,,,亚兹莫的收藏？这可就不能置之不理了！
,710403,,看起来，如果要取得亚兹莫的收藏，我们就必须击败这个机器人。,尽快搞定这机器人！,确认好情况再交手。,,看起来，如果要取得亚兹莫的收藏，我们就必须击败这个机器人。
,710501,,摩尼耶的投影消失了，看来我们可以继续前进了！,,,,摩尼耶的投影消失了，看来我们可以继续前进了！
,710601,,前进的道路被挡住了，看起来，只有击败摩尼耶后，我们才能通过这里。,,,,前进的道路被挡住了，看起来，只有击败摩尼耶后，我们才能通过这里。
,710701,,好，击败这个机器人了！让我看看亚兹莫的收藏里有什么东西！,,,,好，击败这个机器人了！让我看看亚兹莫的收藏里有什么东西！
,710801,,这些战利品被机器人守护着。看来不击败他是拿不到战利品了。,,,,这些战利品被机器人守护着。看来不击败他是拿不到战利品了。
,710901,,突破所有的防线了，我们赶紧击败亚兹莫，结束模拟战吧！,,,,突破所有的防线了，我们赶紧击败亚兹莫，结束模拟战吧！
,711101,黑龙重剑,入侵者已突破下层甲板，全员，启动剑刃的充能系统。为了亚兹莫大人的荣耀，不要放过任何一个入侵者！,,,,入侵者已突破下层甲板，全员，启动剑刃的充能系统。为了亚兹莫大人的荣耀，不要放过任何一个入侵者！
,711201,黑龙战盾,突击卫队这么快就被击败了？！所有人激活护盾，准备迎敌，不要让那些侵入者突破这里！,,,,突击卫队这么快就被击败了？！所有人激活护盾，准备迎敌，不要让那些侵入者突破这里！
,711301,奇怪的电子音,警报，警报，摩尼耶队长已被击败，开始投放深海巨鳍。<br>药物配置完毕，自动愈疗装置已启动——,,,,警报，警报，摩尼耶队长已被击败，开始投放深海巨鳍。<br>药物配置完毕，自动愈疗装置已启动——
,719301,重卫机甲驾驶员,竟然连深海巨鳍都被击败了？！但这可是我全新设计的机甲，绝对不可能败给你们！,,,,竟然连深海巨鳍都被击败了？！但这可是我全新设计的机甲，绝对不可能败给你们！
,719401,重卫机甲·特二型,竟然连深海巨鳍都被击败了？！但这可是我全新设计的机甲，绝对不可能败给你们！,,,,竟然连深海巨鳍都被击败了？！但这可是我全新设计的机甲，绝对不可能败给你们！
