,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,string,string,string,float,float,float,uint32,uint32,float,uint32,uint32,string
,id,levelId,pathId,position,rotation,safePos,patrolSpeed,fightDistance,triggerDistance,triggerAngle,noColor,attack_radius,patrolMinStayTime,patrolMaxStayTime,paths
备注,id,场景ID,路径ID,坐标,角度,英雄安全点,巡逻速度,战斗距离,触发距离,触发角度,视野颜色0可见1不可见,偷袭距离,巡逻最小停留时间,巡逻最大停留时间,路径
,3118001,3118,1,"-38.58308,17.23235,-42.68941","0,15.94718,0","-2.791164,18.49584,-2.673271",1,5,5,360,0,0,500,2000,
,3118002,3118,2,"-55.26,17.2298,5.94","0,127.4657,0","-2.791164,18.49584,-2.673274",1,5,5,360,0,0,500,2000,
,3118003,3118,3,"-6.77,17.22993,55.43","0,141.7652,0","-2.79116,18.49584,-2.673275",1,5,5,360,0,0,500,2000,
,3118004,3118,4,"45.88,17.20319,41.24","0,249.1384,0","-2.791168,18.49584,-2.673267",1,5,5,360,0,0,500,2000,
,3118005,3118,5,"57.85632,17.22984,-21.35312","0,264.1906,0","-2.791172,18.49584,-2.673273",1,5,5,360,0,0,500,2000,
,3118006,3118,6,"18.17492,17.22992,-54.88397","0,10.14344,0","-2.791164,18.49584,-2.673271",1,5,5,360,0,0,500,2000,
,3118007,3118,7,"13.86,13.10353,32.19","0,198.4485,0","-2.791171,18.49584,-2.673279",1,5,5,360,0,0,500,2000,
,3118008,3118,8,"23.98,13.10174,-23.94","0,312.3919,0","-2.791162,18.49584,-2.673273",1,5,5,360,0,0,500,2000,
,3118009,3118,9,"-31.42,13.10352,-13.44","0,58.4724,0","-2.791164,18.49584,-2.673271",1,5,5,360,0,0,500,2000,
,3118010,3118,10,"0.02,18.49584,0.15","0,140,0","-2.791164,18.49584,-2.673271",1,5,5,360,0,0,500,2000,
