,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,string,uint32,uint32,string,uint32,uint32,float,uint32,int32,string,string
,id,sceneId,regionSize,shapeType,type,name,plowlevel,glowlevel,scale,lookfaceId,background,des,uiPos
备注,NPC组Id,关卡Id,区域大小,区域形状,NPC组类型(1npc/building/box/map/5copy/6transfor/7trap/8采集),名字,触发交互界面等级,npc群组最低等级,尺寸,外形id,NPC群组聊天背景,描述,（相对位置）建筑等或无模型类型UI名称位置
,20861,3118,"6,6,6",0,1,怒角战斧莫里茨,0,0,1,10036,0,,
,20862,3118,"6,6,6",0,1,尼格斯,0,0,1,9001,0,,
,20863,3118,"6,6,6",0,1,黑魂机翼艾斯,0,0,1,52022,0,,
,20864,3118,"6,6,6",0,1,苍穹之主克鲁,0,0,1,9000,0,,
,20865,3118,"0,0,0",0,1,亚兹莫,0,0,1,52010,0,,
,20866,3118,"0,0,0",0,1,尼格斯,0,0,1,9001,0,,
,20867,3118,"0,0,0",0,1,黑魂机翼艾斯,0,0,1,52022,0,,
,20969,3118,"6,6,6",0,1,亚兹莫,0,0,1,9004,0,,
,20970,3118,"0,0,0",0,1,亚兹莫,0,0,1,9004,0,,
,40253,3118,"4,4,4",0,3,实验仪器箱,0,0,1,1020,0,,
,40254,3118,"4,4,4",0,3,实验仪器箱,0,0,1,1020,0,,
,40255,3118,"4,4,4",0,3,实验仪器箱,0,0,1,1020,0,,
,40256,3118,"4,4,4",0,3,实验仪器箱,0,0,1,1020,0,,
,70038,3118,"0,0,0",0,10,篝火,0,0,1,1014,0,,"0,1,0"
