,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3118001,摩尼耶,3118,2,200579,1,0,0,0,0,0,66,,0,1
,3118002,黑龙舰兵,3118,2,200580,2,0,0,0,0,0,66,,0,1
,3118003,合成怪,3118,2,200581,3,0,0,0,0,0,66,,0,1
,3118004,海魔,3118,2,200582,4,0,0,0,0,0,66,,0,1
,3118005,黑龙战士,3118,2,200583,5,0,0,0,0,0,66,,0,1
,3118006,扬博士,3118,2,200584,6,0,0,0,0,0,66,,0,1
,3118007,四蹄神,3118,2,200585,7,0,1,0,0,0,66,,0,1
,3118008,尼格斯,3118,2,200586,8,0,1,0,0,0,66,,0,1
,3118009,机械石像,3118,2,200587,9,0,1,0,0,0,66,,0,1
,3118010,愤怒,3118,2,200588,10,0,1,0,0,0,66,,0,1
,3118011,篝火,3118,1,70038,0,1,0,0,0,0,0,"0.02,18.49,0.15",0,1
,3118012,四蹄神,3118,1,20861,0,0,0,0,0,0,0,"13.86,13.10,32.19",198.45,1
,3118013,尼格斯,3118,1,20862,0,0,0,0,0,0,0,"-31.42,13.10,-13.44",58.47,1
,3118014,机械石像,3118,1,20863,0,0,0,0,0,0,0,"23.98,13.10,-23.94",312.39,1
,3118015,愤怒,3118,1,20864,0,1,0,0,0,0,0,"0.02,18.49,0.15",140,1
,3118016,实验仪器箱,3118,1,40253,0,1,0,0,0,0,0,"-66.41,15.59,4.94",49.09,1
,3118017,实验仪器箱,3118,1,40254,0,1,0,0,0,0,0,"-4.01,15.58,67.22",184.09,1
,3118018,实验仪器箱,3118,1,40255,0,1,0,0,0,0,0,"5.84,15.59,-58.23",49.09,1
,3118019,实验仪器箱,3118,1,40256,0,1,0,0,0,0,0,"54.56,15.57,31.61",319.09,1
,3118020,四蹄神尸体,3118,1,20865,0,1,0,0,0,0,0,"-31.42,13.10,-13.44",58.47,1
,3118021,尼格斯尸体,3118,1,20866,0,1,0,0,0,0,0,"13.86,13.10,32.19",198.45,1
,3118022,机械石像尸体,3118,1,20867,0,1,0,0,0,0,0,"23.98,13.10,-23.94",312.39,1
,3118023,亚兹莫,3118,2,200736,10,0,1,0,0,0,66,,0,1
,3118024,实验仪器箱,3118,1,40253,0,1,0,0,0,0,0,"-4.01,15.58,67.22",184.09,1
,3118025,实验仪器箱,3118,1,40253,0,1,0,0,0,0,0,"5.84,15.59,-58.23",49.09,1
,3118026,实验仪器箱,3118,1,40253,0,1,0,0,0,0,0,"54.56,15.57,31.61",319.09,1
,3118027,亚兹莫,3118,1,20969,0,1,0,0,0,0,0,"0.02,18.49,0.15",140,1
,3118028,亚兹莫,3118,1,20970,0,1,0,0,0,0,0,"0.02,18.49,0.15",140,1
