,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask,countdown_show
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型,倒计时限时
,10240,0,1,1,0,0,3,1 2003 60080,1,,2,0,0,0,0,1 1 2003 60080,0,104,0
,10248,0,1,0,0,0,3,1 2003 10013,1,,2,0,0,0,0,"2 0 2003 -135.50,0.153,-41.2",0,101,0
回到营地休息,10288,0,1,0,0,0,3,1 2003 30318,1,,2,0,0,0,0,2 1 2003 30318,0,101,0
乘坐飞艇,10291,0,1,0,0,0,3,1 2003 30312,1,,2,0,0,0,0,2 1 2003 30312,0,101,0
,10325,0,1,0,0,0,3,1 2003 20191,1,,5,0,0,0,0,1 1 2003 20191,0,101,0
,10327,0,1,0,0,0,3,1 2003 20192,1,,5,0,0,0,0,1 1 2003 20192,0,101,0
,10329,0,1,0,0,0,3,1 2003 30230,1,,5,0,0,0,0,2 1 2003 30230,0,101,0
,10332,0,1,0,0,0,1,,1,,5,0,0,0,0,0,0,101,0
,10333,0,1,0,0,0,3,1 2003 20198,1,,5,0,0,0,0,1 1 2003 20198,0,101,0
,10338,0,1,0,0,0,3,1 2003 30226,1,,5,0,0,0,0,2 1 2003 30226,0,101,0
,10341,0,1,0,0,0,1,,1,,5,0,0,0,0,0,0,101,0
,10344,0,1,0,0,0,3,1 2003 30239,1,,5,0,0,0,0,2 1 2003 30239,0,101,0
,10345,0,1,1,0,0,3,1 2003 60087,1,,5,0,0,0,0,1 1 2003 60087,0,104,0
,10346,0,1,0,0,0,3,1 2003 30240,1,,5,0,0,0,0,1 2 2003 300100,0,102,0
,10349,0,1,0,0,0,3,1 2003 20194,1,,5,0,0,0,0,1 1 2003 20194,0,101,0
,10384,0,1,2,0,0,3,1 2003 30298,1,,5,0,2005,0,0,1 2 2003 900233,0,102,0
,10401,0,1,0,0,0,3,1 2003 20302,1,,2,0,0,0,0,1 1 2003 20302,0,101,0
,10413,0,1,0,0,0,3,1 2003 21036,1,,2,0,0,0,0,1 1 2003 21036,0,101,0
,10415,0,1,0,0,0,3,1 2003 30311,1,,5,0,0,0,0,"2 0 2003 -222.972,0.096,-36.674",0,101,0
引开戈壁火狐,10420,0,1,0,0,0,3,1 2003 20316,1,,2,0,0,0,0,1 1 2003 20316,0,101,0
,10448,0,1,1,0,0,3,1 2003 30404,1,,5,0,0,0,0,"2 0 2003 -163.105,0.15,-25.612",0,101,0
