,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3150026,,3150,1,60499,0,1,0,0,0,0,0,"-18.76,0.17,-4.93",0,1
,3150027,,3150,1,60499,0,1,0,0,0,0,0,"-13.41,0.05,11.94",0,1
,3150028,,3150,1,60499,0,1,0,0,0,0,0,"-31.60,0.13,15.85",0,1
,3150029,,3150,1,60499,0,1,0,0,0,0,0,"-42.61,0.18,22.76",0,1
,3150030,,3150,1,60499,0,1,0,0,0,0,0,"-48.90,0.02,29.37",0,1
,3150031,,3150,1,60499,0,1,0,0,0,0,0,"-59.36,0.02,25.46",0,1
,3150032,,3150,1,60499,0,1,0,0,0,0,0,"-59.65,0.36,16.64",0,1
,3150033,,3150,1,60499,0,1,0,0,0,0,0,"-70.97,0.40,10.38",0,1
,3150034,,3150,1,60499,0,1,0,0,0,0,0,"-66.79,0.40,48.18",0,1
,3150035,,3150,4,1128,0,1,0,0,0,0,0,"-13.03,0.77,-1.93",0,1
,3150036,,3150,4,1128,0,1,0,0,0,0,0,"-18.08,0.77,7.551",0,1
,3150037,,3150,4,1128,0,1,0,0,0,0,0,"-37.61,0.77,14.16",0,1
,3150038,,3150,4,1128,0,1,0,0,0,0,0,"-50.63,0.77,19.79",0,1
,3150039,,3150,4,1128,0,1,0,0,0,0,0,"-62.37,0.77,15.21",0,1
,3150040,,3150,4,1128,0,1,0,0,0,0,0,"-66.46,0.77,19.08",0,1
,3150041,,3150,4,1128,0,1,0,0,0,0,0,"-75.66,0.77,7.581",0,1
,3150042,,3150,4,1128,0,1,0,0,0,0,0,"-79.49,0.77,28.53",0,1
